,,WT statistics,,,,,,,WT Mean value for each time point,,,,,,WT standard error of the mean for each time point,,,,,,CCA1-Ox statistics,,,,,,,CCA1-Ox Mean value for each time point,,,,,,CCA1-Ox standard error of the mean for each time point,,,,,,Protein details,,,WT normalized abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCA1-Ox normalized abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accession,Description,WT Peak time point,WT Trough time point,WT JTK p-value,"WT JTK p-value, BH adjusted",WT period predicted by JTK_CYCLE,WT ANOVA p-value,"WT ANOVA p-value, BH adjusted",WT mean 12h,WT mean 16h,WT mean 20h,WT mean 24h,WT mean 28h,WT mean 32h,WT sem 12h,WT sem 16h,WT sem 20h,WT sem 24h,WT sem 28h,WT sem 32h,CCA1-Ox Peak time point,CCA1-Ox Trough time point,CCA1-Ox JTK p-value,"CCA1-Ox JTK p-value, BH adjusted",CCA1-Ox period predicted by JTK_CYCLE,CCA1-Ox ANOVA p-value,"CCA1-Ox ANOVA p-value, BH adjusted",CCA1-Ox mean 12h,CCA1-Ox mean 16h,CCA1-Ox mean 20h,CCA1-Ox mean 24h,CCA1-Ox mean 28h,CCA1-Ox mean 32h,CCA1-Ox sem 12h,CCA1-Ox sem 16h,CCA1-Ox sem 20h,CCA1-Ox sem 24h,CCA1-Ox sem 28h,CCA1-Ox sem 32h,Peptide count,Peptides used for quantitation,Confidence score,wt 12A,wt 12B,wt 12C,wt 12D,wt 12E,wt 16A,wt 16B,wt 16C,wt 16D,wt 16E,wt 20A,wt 20B,wt 20C,wt 20D,wt 20E,wt 24A,wt 24B,wt 24C,wt 24D,wt 24E,wt 28A,wt 28B,wt 28C,wt 28D,wt 28E,wt 32A,wt 32B,wt 32C,wt 32D,wt 32E,Ox 12A,Ox 12B,Ox 12C,Ox 12D,Ox 12E,Ox 16A,Ox 16B,Ox 16C,Ox 16D,Ox 16E,Ox 20A,Ox 20B,Ox 20C,Ox 20D,Ox 20E,Ox 24A,Ox 24B,Ox 24C,Ox 24D,Ox 24E,Ox 28A,Ox 28B,Ox 28C,Ox 28D,Ox 28E,Ox 32A,Ox 32B,Ox 32C,Ox 32D,Ox 32E
AT5G25980.2,"| Symbols: TGG2, BGLU37 | glucoside glucohydrolase 2 | chr5:9072730-9075477 FORWARD LENGTH=547",12,24,1,1,24.18181818,0.260432084,0.648004241,16825192.63,13852273.37,15878908.43,12274948.89,14897241.41,13055666.51,1261741.653,1885658.751,1859020.716,1595188.396,2013824.683,752080.3604,16,32,1,1,24.18181818,0.744153344,0.99615712,5714133.977,5818300.518,5772029.834,5349694.986,5324166.011,4961232.015,211615.2373,575196.4859,397382.6493,449238.2345,342075.6287,102500.3939,30,26,2146.32,19461088.59,15647169.79,17481224.95,17977776.53,13558703.28,18373352.87,13295546.31,15730285.93,10005810.34,11856371.43,21219932.77,17479130.75,16495425.13,9967900.85,14232152.67,16310640.09,13727131.79,11012282.91,8703680.997,11621008.67,19767450.47,18062950.11,14197297.32,11393864.94,11064644.19,12028476.1,17134917.46,12994568.43,12565698.23,10554672.35,5893650.105,6197875.476,5607784.839,4954532.861,5916826.602,5424107.098,7092960.139,4421592.342,7249628.165,4903214.848,6132440.169,7455509.332,6135073.507,3549541.284,5587584.88,6725228.385,4664858.129,5080469.086,5238746.248,5039173.084,6063647.5,4449487.886,4960547.593,5551888.349,5595258.726,4682749.628,4501452.698,5888920.012,4997546.735,4735491.001
AT4G35090.1,| Symbols: CAT2 | catalase 2 | chr4:16700937-16703215 REVERSE LENGTH=492,28,16,0.112257833,0.726984799,24,0.166130748,0.560644941,5145162.831,4773937.564,5098779.322,5001055.204,5696867.484,5613961.917,217181.3311,96780.12911,291272.0755,547431.9553,352782.3583,265450.0463,28,16,1,1,24.18181818,0.85821684,0.99615712,3268826.522,3197662.338,3293248.654,3254481.667,3405471.763,3353653.37,57808.82012,115124.8757,214525.7587,124804.5534,50929.39989,159929.2676,21,11,1444.9,5056921.381,5570908.152,5584985.505,4825140.109,4687859.008,4986773.241,4925543.781,4517108.824,4743503.078,4696758.895,5127112.926,5141880.896,6125267.436,4412463.618,4687171.734,6740411.883,4298887.923,4183181.342,4914973.976,4867820.895,5332911.646,6022753.515,5469858.267,6635907.044,5022906.949,5122236.292,6481076.973,5176087.189,5273675.102,6016734.032,3169048.859,3120349.744,3330642.649,3444615.05,3279476.305,3308108.452,3443161.504,3149666.867,3310976.085,2776398.78,3519491.037,3869839.033,2843693.193,2926231.717,3306988.292,3551293.498,2992538.477,3061342.798,3242546.811,3424686.751,3601576.932,3509985.46,3130877.551,3403798.507,3381120.364,3361463.619,3564243.655,3463706.311,3514700.556,2864152.71
AT1G35720.1,"| Symbols: ANNAT1, OXY5, ATOXY5 | annexin 1 | chr1:13225304-13226939 FORWARD LENGTH=317",32,16,0.026425066,0.399758394,26,0.025443485,0.325796127,2073124.006,2071924.535,2118115.687,2209048.924,2383786.521,2546985.86,61635.03119,142929.4514,85861.01691,128942.802,166171.8384,43296.80959,32,24,1,1,24.18181818,0.374623468,0.932133982,3554101.064,3515961.908,3743495.469,3364037.376,3655215.171,3746334.928,87103.51644,90714.3753,249627.5795,176366.2798,117198.7029,180800.8886,18,18,850.25,1983653.611,2243644.33,2149294.101,1984282.996,2004744.989,2407503.585,2386629.355,1800184.739,1959470.769,1805834.225,2000281.487,2397415.907,2206097.221,1902024.569,2084759.251,2564892.226,2032323.176,2264610.959,1933478.124,2249940.136,2826133.461,2188165.043,2039584.306,2537470.264,2327579.529,2901762.749,2281335.916,2494170.867,2601103.152,2456556.615,3338057.692,3484103.353,3477810.343,3615467.985,3855065.946,3232115.077,3552797.091,3504035.442,3488923.157,3801938.776,4146857.521,4432693.316,3550475.657,3219919.313,3367531.541,3818143.628,2993893.507,3221493.407,3224138.786,3562517.55,3498339.67,3766271.676,3700663.15,3402024.21,3908777.152,4108984.649,3514605.441,3636226.912,4059864.407,3411993.231
AT2G47730.1,"| Symbols: ATGSTF8, ATGSTF5, GST6, GSTF8 | glutathione S-transferase phi 8 | chr2:19558213-19559266 FORWARD LENGTH=263",28,24,1,1,24.18181818,0.83086766,0.931231771,3722809.275,3814633.697,3625282.722,3422251.912,3851761.736,3717899.233,112683.2547,269000.0828,200939.8082,384036.077,269359.6127,293598.9752,20,28,1,1,24.18181818,0.291350009,0.879617224,2123192.451,1934118.153,2144738.178,1940539.764,1902889.431,2120549.275,92622.62063,87740.20055,180177.7958,119550.9908,103353.8342,84814.34427,9,7,621.53,3694194.082,3802565.057,3294610.506,4114635.24,3708041.489,4687450.115,3183676.83,3944682.169,3383750.836,3873608.533,4227721.078,3641389.648,3640065.116,3657598.992,2959638.776,4601155.031,3043416.376,2842860.173,3478987.817,3144840.163,4444641.649,4548790.09,3581262.768,3496723.5,3187390.671,3293225.918,4872196.227,2942304.533,3955417.469,3526352.019,1862782.708,2002133.553,2132683.547,2209590.118,2408772.331,1743863.414,2158410.074,1713557.049,2054029.101,2000731.128,2153612.392,2626430.098,1749833.922,1939183.653,2254630.828,2238176.034,1846776.108,1969014.929,1669058.029,1979673.722,1899314.437,1709993.927,1836778.571,2203857.599,1864502.62,2015356.948,2318884.692,2166410.428,2166771.034,1935323.27
AT4G17090.1,"| Symbols: CT-BMY, BAM3, BMY8 | chloroplast beta-amylase | chr4:9605266-9607250 REVERSE LENGTH=548",20,12,0.005601706,0.225379284,24,0.002192311,0.159134346,698738.0407,820316.8729,956042.7672,820380.034,843845.5484,746523.4699,26681.27093,19015.69366,47634.87431,50143.99874,67180.03049,63394.69609,20,12,1,1,24.18181818,0.637150689,0.992224199,403343.3704,449949.6361,464249.7896,417090.5901,418987.3168,426761.5728,14008.14105,22923.27479,35702.14671,41916.33676,24618.58602,27764.64663,8,8,414.7,647733.6123,673450.503,693135.4036,707891.1388,771479.546,852518.133,813662.0419,780513.3752,855970.4784,798920.336,795006.4606,1035654.699,1037518.601,899128.7239,1012905.351,976547.2823,698547.9259,731226.6364,852519.6243,843058.701,829627.0031,822968.8502,764013.4013,1044639.886,757978.6019,724205.7896,758115.6326,645849.8906,739726.532,864719.5045,423682.201,348394.6017,420553.2429,416731.9128,407354.8938,498086.8908,495136.3659,393849.4462,465326.3981,397349.0792,425731.8479,588044.8587,451098.6581,376079.2302,480294.3531,507145.2554,420261.487,338883.3679,326022.6485,493140.1917,437990.4236,476154.1803,383004.1207,438642.7548,359145.1048,391301.653,464864.288,422254.0692,484898.058,370489.7957
AT1G70890.1,| Symbols: MLP43 | MLP-like protein 43 | chr1:26725912-26726489 REVERSE LENGTH=158,12,24,0.499058327,1,26,0.597860652,0.833457436,1724384.39,1656952.734,1583258.644,1446350.196,1635587.767,1670157.033,219704.9523,107077.1175,70605.72738,135415.1186,177705.0713,87860.04017,20,32,0.28581559,1,26,0.379184379,0.933964019,3427838.56,3573835.773,3833614.48,3351728.502,3173724.92,3118469.705,234062.2099,75263.26395,333631.386,353653.2534,186237.8311,307569.4249,5,5,389.16,2143280.989,2028172.28,1218601.602,1743613.936,1488253.145,1862455.213,1753192.9,1653254.473,1671089.174,1344771.91,1499072.407,1680397.418,1814040.863,1450990.242,1471792.29,1262657.57,1397872.805,1843693.543,1276103.003,1451424.058,1344168.401,1547629.919,1415837.327,2119800.962,1750502.226,1547928.759,1528521.564,1585602.121,1873323.505,1815409.215,2722068.143,3917940.416,3977116.508,3256745.854,3265321.877,3581327.362,3624517.676,3550073.563,3790627.662,3322632.602,4467059.005,4309402.103,4111998.288,3285981.255,2993631.751,3900295.057,2495588.445,4076168.955,3499513.557,2787076.495,3411789.159,3421990.582,3401167.083,2649355.842,2984321.935,3773266.927,2475243.689,4008007.159,2873474.51,2462356.239
AT2G45820.1,| Symbols:  | Remorin family protein | chr2:18863147-18864576 REVERSE LENGTH=190,16,28,0.030090575,0.427829153,26,0.085188146,0.473656084,170448.3788,176793.5261,158487.2396,144978.9154,124764.0355,125610.8088,21265.47353,10060.35971,16075.50997,6309.339565,5028.714017,6584.294598,12,32,1,1,24.18181818,0.195980056,0.859865873,376046.2547,345412.3842,300589.9747,323217.7698,321410.3983,296197.3839,24088.76302,25668.79196,7143.510376,33605.50945,19544.21927,14193.31901,3,2,157.88,233379.8962,162932.7022,191588.6147,130732.6185,133608.0623,175172.8836,279399.1691,157717.8936,127919.5294,143758.155,156606.1639,220223.6898,144694.3968,128300.8442,142611.1031,135886.0563,132811.9837,142597.9461,148228.7098,165369.8811,115767.0556,129503.3866,138208.7788,118563.8306,121777.1259,190331.799,117596.4333,112781.3596,113791.5161,93552.93576,441942.1452,357739.4665,344060.609,314471.1698,422017.8828,309236.194,357670.3005,386471.9905,266535.3866,407148.0494,310527.4921,294875.8701,289507.6828,287409.7995,320629.0291,374110.1187,272025.2369,244318.7162,371713.8241,353920.9532,343882.3328,328939.2306,381048.3647,255452.5899,297729.4735,250864.6249,253752.1347,388287.8551,275716.163,312366.142
AT1G02920.1,"| Symbols: ATGSTF7, GST11, ATGSTF8, GSTF7, ATGST11 | glutathione S-transferase 7 | chr1:658886-659705 REVERSE LENGTH=209",32,16,0.043965659,0.516391687,26,0.008002812,0.251031805,143580.9918,130409.0921,154998.0132,146907.6897,192839.073,224192.7484,12561.73035,8655.269289,14560.20314,16011.43938,25209.2415,47975.72204,32,12,0.125302257,1,26,0.003934482,0.308747406,56839.15871,65084.86531,66888.30427,60199.29775,76110.16516,98304.31658,4105.882093,3379.686128,6498.634358,11078.6548,6651.595198,10059.74686,3,2,106.67,114346.4121,159762.0982,172277.1828,115876.2157,155643.0503,131285.9167,132600.577,152290.7356,110540.2105,125328.0205,134992.9393,182571.1901,195932.5682,120078.6119,141414.7565,189857.7948,164129.2813,119094.0416,128642.0541,132815.2766,252904.4767,234982.5928,150073.3723,183933.1182,142301.8052,267405.3819,216526.0746,307396.6717,153470.3191,176165.2947,55330.63956,72725.00869,50005.17131,54987.78608,51147.18794,52715.70023,63234.26719,68449.21055,71457.49224,69567.65635,66191.83064,80215.74993,48858.36526,69872.87429,69302.70125,86282.95726,46292.94594,51580.64845,34826.51557,82013.42152,69549.70156,68731.34408,75270.60973,96235.5009,70763.66952,91471.54838,93436.14542,96767.0844,127912.1219,81934.68286
AT4G18440.1;AT1G36280.1,| Symbols:  | L-Aspartase-like family protein | chr4:10186385-10188832 REVERSE LENGTH=536,32,20,0.004118666,0.225379284,26,0.175884242,0.562583329,774903.244,823098.1766,668304.8433,783764.4267,865868.9213,1067823.748,53343.98551,247795.6852,35398.20536,21065.27484,83065.78767,67035.76747,20,16,1,1,24.18181818,0.444227432,0.954152035,349681.1658,318058.9274,368670.2561,339490.1346,357768.9311,363969.2288,24797.33633,9024.721938,19828.60793,13264.13773,33609.8265,15228.4105,6,6,288.11,917751.9558,840747.5754,848747.4715,600051.1019,667218.1151,1561853.076,713149.8098,743748.5547,684104.6995,412634.7434,619150.5148,770673.9708,664151.397,717748.1938,569800.14,767692.1911,854826.5679,720697.1673,753751.7539,821854.4534,933274.047,999120.5619,607328.5024,810619.7648,979001.7302,1638735.584,929092.5206,1023869.238,796473.919,950947.4771,338957.8454,297990.8686,394584.0932,419024.0358,297848.9862,302383.5215,326454.8712,307839.6453,303839.1338,349777.4653,361588.5994,415030.2337,318379.1292,389669.7741,358683.5444,313817.5183,293517.699,332368.7626,355755.8083,401990.8845,352279.653,292756.33,319477.9356,455450.9322,368879.8046,357190.4888,409515.5856,349505.3197,366298.3622,337336.388
AT3G09260.1;AT1G66270.1,"| Symbols: PYK10, PSR3.1, BGLU23, LEB | Glycosyl hydrolase superfamily protein | chr3:2840657-2843730 REVERSE LENGTH=524",24,12,0.139644872,0.77896299,26,0.002847944,0.161301791,2943271.311,3245372.215,3020809.353,4293179.538,3314150.407,3656217.663,187931.9479,222387.7835,179979.6039,408744.8796,307474.4018,105096.3898,20,12,1,1,24.18181818,0.794132915,0.99615712,5713145.746,6025946.654,6653877.365,6568533.7,6115732.676,6098151.967,302969.9783,382821.3707,470622.107,1017136.044,654594.9401,224733.3973,17,14,1233.25,3024975.815,3296388.212,2874264.778,3121149.451,2399578.301,3037386.812,2838078.273,3067417.89,3992283.573,3291694.525,3175113.305,2431759.284,2819807.068,3207204.416,3470162.693,4015429.1,4442291.04,5415675.205,3496743.534,4095758.81,3159381.242,3056820.072,2670169.598,4120330.122,3564051.002,3724042.273,3039411.137,3842619.809,4019515.905,3655499.192,6149395.302,4608964.197,6287428.275,5974563.177,5545377.777,6770113.132,6605958.854,5964332.371,6182070.133,4607258.782,7908302.601,6631771.346,6622627.537,6496349.018,5610336.324,8535624.992,6033685.09,8532411.701,4384551.005,5356395.715,5823176.11,8004012.33,6248929.19,5268577.024,5233968.728,6421360.306,6723407.616,5676450.621,5744295.489,5925245.805
