CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,Time_point_2,Time_point_6,Time_point_10,Time_point_14,Time_point_18,Time_point_22,Time_point_26,Time_point_30,Time_point_34,Time_point_38,Time_point_42,Time_point_46,UNIPROTKB,GENES,description
P38647,3.08E-005,0.045844764,20.68393782,1.005281273,4.271138134,0.004320437,0.668553793,20,2,4.157044581,0.159818168,1,20.12232416,1.475023668,69.72433389,3.71E-006,0.003817452,20.26875399,1.499186111,66.6774356,4.267256245,0.063998506,73.86931329,68.99542038,63.67682268,64.39677894,70.27572777,71.51678055,66.85890861,62.23203653,64.03033549,64.19492094,68.60163026,66.65778435,P38647,Hspa9,heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245]
Q9Z2I9,0.000164309,0.069766536,24.34146341,23.22679091,4.064314363,0.001933622,0.668553793,24,0,3.223630822,0.096043482,1,24.2804428,22.4506358,13.20009648,5.13E-006,0.003817452,24.20730207,23.22845979,10.25183859,4.077452346,0.397728887,11.65760803,8.178024055,3.592681239,7.234696962,10.9116482,13.96822851,13.1192487,9.464351341,7.043680338,10.51205986,9.989260594,16.91739398,Q9Z2I9,Sucla2,"succinate-Coenzyme A ligase, ADP-forming, beta subunit [Source:MGI Symbol;Acc:MGI:1306775]"
Q9DBS1,0.000843271,0.190558869,20.57731959,12.39264422,6.574017926,0.008979903,0.668553793,24,12,5.982071925,0.103111877,1,21.02236422,10.38407316,29.59778913,8.90E-005,0.026495433,21.86656127,11.62167061,26.0894732,6.481004858,0.248414554,18.28760102,23.8679579,32.09009859,31.80782653,26.91767358,18.26437866,29.35871105,27.10687951,32.22666237,28.13121763,18.43753434,20.30017542,Q9DBS1,Tmem43,transmembrane protein 43 [Source:MGI Symbol;Acc:MGI:1921372]
P29268,0.006133669,0.202598481,26.79194631,22.17398385,87.72020197,0.001933622,0.668553793,28,22,60.41840735,0.153286717,1,26.00790514,22.02850442,871.2369387,0.00018466,0.04582641,26.93328382,22.08961756,797.7006714,90.59464021,0.113569718,775.9781804,723.1207319,733.0252978,797.4086086,750.8703553,955.4927638,865.1415963,728.099176,715.7330272,718.3777011,818.4053154,875.8811384,P29268,Ctgf,connective tissue growth factor [Source:MGI Symbol;Acc:MGI:95537]
E9PV24-2,0.001770994,0.202598481,27.34246575,13.92170095,11.48112199,0.008979903,0.668553793,28,16,12.94298488,0.14171428,1,28,14.06642286,91.38592306,0.000222085,0.047240629,27.78082192,14.65485932,78.8770595,12.24365453,0.155224531,69.37092339,72.89235806,99.28270097,91.38187314,85.91780019,79.00402187,70.11240472,67.00575692,73.87646219,83.74217293,84.83896513,80.01857953,E9PV24,Fga,fibrinogen alpha chain [Source:MGI Symbol;Acc:MGI:1316726]
Q11011,0.002322576,0.202598481,27.53103448,2.017892988,4.645302179,0.01754066,0.746229774,28,2,3.548077045,0.079769288,1,28,1.926568647,72.32706898,0.000303797,0.053098299,27.84367816,1.981818628,66.75860279,5.25358419,0.078695239,68.73415063,68.85319965,66.36796618,61.11496664,63.95327648,64.54358753,72.95050352,72.50222365,69.87215339,67.31734314,60.15753982,62.40835457,Q11011,Npepps,aminopeptidase puromycin sensitive [Source:MGI Symbol;Acc:MGI:1101358]
Q8BTZ7,0.00421002,0.202598481,24,3.20108774,5.851567187,0.008979903,0.668553793,24,4,5.953503486,0.091669315,1,24.46096654,2.986989644,68.13977561,0.000320943,0.053098299,24.15365551,3.398318597,63.59878111,6.537561115,0.102793811,70.46042087,69.5785235,60.80124291,57.07987563,61.54070243,58.87765982,72.54692391,69.51839276,61.35207159,58.23100576,60.18412092,62.69773205,Q8BTZ7,Gmppb,GDP-mannose pyrophosphorylase B [Source:MGI Symbol;Acc:MGI:2660880]
Q542E4,0.000895844,0.190558869,20.90052356,13.11295333,15.11137511,0.057269646,0.897626344,20,16,10.17493551,0.110198092,1,20.75709779,12.5513045,66.84645389,0.000486698,0.056615442,20.55254045,13.85363388,58.17037853,15.04869442,0.258700301,44.93788744,41.49376712,73.58062573,61.17849552,63.57672656,46.78896373,53.04805317,61.18746786,80.82961758,62.22127446,44.41151679,42.01696713,Q542E4,Tm9sf2,transmembrane 9 superfamily member 2 [Source:MGI Symbol;Acc:MGI:1915309]
Q91ZJ5-2,0.002755466,0.202598481,24,2.211896549,20.52788801,0.008979903,0.668553793,24,2,18.40954626,0.250470014,1,24.2804428,2.263358245,162.0124888,0.000526098,0.056615442,24.09348093,2.158086748,144.007029,21.70303355,0.150708154,155.1276664,154.8966763,117.8930891,111.1265829,118.9024532,162.30437,166.5912687,151.058978,149.717875,140.3498178,145.1324915,154.0991195,Q91ZJ5,Ugp2,UDP-glucose pyrophosphorylase 2 [Source:MGI Symbol;Acc:MGI:2183447]
Q9DBG3,0.002956338,0.202598481,23.76190476,10.64421727,9.067575587,0.01754066,0.746229774,24,12,9.810932855,0.119576898,1,23.92727273,10.28445089,85.73110564,0.000526329,0.056615442,23.8963925,10.97245181,83.0577536,9.169255586,0.110396142,70.64386866,94.83870146,96.45387269,87.75691836,80.4634386,73.02689452,78.58074092,85.20901862,86.98625341,86.8274744,78.55988057,76.86832357,Q9DBG3,Ap2b1,"adaptor-related protein complex 2, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1919020]"
