PROBES_ID	CDS_ID_II
Ot11g02240	Ot11g02700
Ot08g01290	Ot08g01350
Ot09g02150	Ot09g02260
Ot10g01820	Ot10g02100
Ot11g02320	Ot11g02990
Ot08g02040	Ot08g02310
Ot09g02180	Ot09g02290
Ot10g02230	Ot10g02410
Ot11g02520	Ot11g03150
Ot08g02450	Ot13g00370
Ot09g02570	Ot09g02700
Ot10g02530	Ot10g02660
Ot08g03190	Ot08g03650
Ot09g02730	Ot09g02870
Ot10g02760	Ot10g03220
Ot11g02770	Ot11g03500
Ot08g03440	Ot08g03970
Ot09g02930	Ot09g03030
Ot10g03200	Ot10g03550
Ot12g00360	Ot13g00440
Ot16g01110	Ot17g01250
Ot16g02100	Ot17g00150
Ot17g00800	Ot18g01230
Ot18g00110	Ot19g00700
Ot16g01220	Ot17g01160
Ot17g00090	Ot18g02090
Ot17g00940	Ot18g01100
Ot18g00130	Ot19g00720
Ot16g01250	Ot17g01130
Ot17g00140	Ot18g01800
Ot17g01010	Ot18g01030
Ot18g00350	Ot19g00860
Ot16g01300	Ot17g01020
Ot17g00170	Ot18g01770
Ot17g01070	Ot18g00930
Ot18g00660	Ot19g00260
Ot17g01100	Ot18g01010
Ot08g01030	Ot08g01300
Ot09g02100	Ot09g02520
Ot10g01400	Ot10g01790
Ot11g02040	Ot11g02530
Ot12g00030	Ot13g00030
Ot12g00880	Ot12g00630
Ot11g01140	Ot11g01380
Ot11g02090	Ot11g02560
Ot12g00080	Ot13g00080
Ot12g00940	Ot12g00910
Ot11g01180	Ot11g01410
Ot11g02110	Ot11g02580
Ot12g00190	Ot13g00200
Ot12g00980	Ot12g00900
Ot11g01250	Ot11g01450
Ot11g02210	Ot11g02680
Ot11g02270	Ot11g02940
Ot12g00270	Ot13g00290
Ot12g01050	Ot12g00910
Ot16g01020	Ot17g01350
Ot16g02070	Ot17g00180
Ot17g00780	Ot18g01250
Ot17g01820	Ot18g00080
Ot07g02450	Ot07g01100
Ot07g03830	Ot07g03210
Ot07g00520	Ot07g02560
Ot07g01770	Ot07g01660
Ot07g02580	Ot07g00940
Ot08g00230	Ot08g00180
Ot07g00670	Ot07g00150
Ot07g01810	Ot07g01620
Ot07g02640	Ot07g00900
Ot08g00250	Ot08g00200
Ot07g00750	Ot07g02390
Ot07g01910	Ot07g00700
Ot07g02690	Ot07g00850
Ot08g00300	Ot08g00260
Ot07g00840	Ot07g02280
Ot07g01970	Ot07g00770
Ot07g02850	Ot07g04410
Ot08g00480	Ot08g00440
Ot11g00990	Ot11g01040
Ot11g01960	Ot11g02460
Ot11g02750	Ot11g03490
Ot12g00840	Ot12g00580
Ot11g01070	Ot11g01120
Ot04g02060	Ot04g02150
Ot03g04520	Ot03g05150
Ot04g00110	Ot04g00110
Ot04g01100	Ot04g01200
Ot04g02220	Ot04g03090
Ot03g04560	Ot03g05190
Ot04g00350	Ot04g00270
Ot04g01170	Ot04g01250
Ot04g02370	Ot04g02470
Ot03g04580	Ot03g05380
Ot04g00430	Ot04g00340
Ot04g02460	Ot04g02580
Ot03g04630	Ot03g05690
Ot04g00460	Ot04g00380
Ot04g01300	Ot04g01360
Ot04g02520	Ot04g02730
Ot07g00410	Ot07g02670
Ot07g01480	Ot07g01840
Ot07g02360	Ot07g01170
Ot07g03780	Ot07g03270
Ot07g00460	Ot07g02600
Ot07g01540	Ot07g01790
Ot00g09620	Ot17g01040
Ot00g10300	Ot04g02260
Ot00g11520	Ot06g02890
Ot00g09700	Ot03g05560
Ot00g10390	Ot07g01060
Ot00g11060	Ot01g01230
Ot00g11600	Ot05g00340
Ot00g09750	Ot09g01810
Ot00g10440	Ot16g02320
Ot00g11130	Ot03g03450
Ot00g11650	Ot15g02140
Ot00g09810	Ot13g01770
Ot00g10500	Ot02g07510
Ot00g11190	Ot03g00970
Ot00g11680	Ot12g00330
Ot03g04370	Ot14g00480
Ot03g05130	Ot07g02720
Ot04g00960	Ot04g00710
Ot04g01990	Ot04g02090
Ot03g04440	Ot03g04930
Ot04g00050	Ot04g00060
Ot04g01060	Ot04g01160
Ot19g00410	Ot20g00430
Ot19g00740	Ot20g00930
Ot00g00470	Ot05g04230
Ot00g00500	Ot02g06880
Ot19g00120	Ot20g00130
Ot19g00450	Ot20g00510
Ot00g00020	Ot18g00090
Ot00g00590	Ot05g02080
Ot19g00150	Ot20g00150
Ot19g00470	Ot20g00520
Ot00g00070	Ot05g04190
Ot00g00610	Ot06g00830
Ot00g09560	Ot16g03090
Ot00g10100	Ot03g02100
Ot00g10920	Ot18g00810
Ot00g11420	Ot03g04810
Ot00g09580	Ot16g00990
Ot00g10150	Ot15g02760
Ot00g10980	Ot11g01900
Ot00g11450	Ot13g00340
Ot15g02310	Ot16g00360
