Transcript.ID	Ensembl.Genome.Protein.ID	UniProt.ID	protein_LD6.5	protein_LD9.5	protein_LD11.5	protein_LD12.5	protein_LD14.5	protein_LD17.5	protein_LD21.5	protein_LD23.5	protein_LD24.5	protein_LD26.5	protein_LD30.5	protein_LD33.5	protein_LD35.5	protein_LD36.5	protein_LD38.5	protein_LD41.5	protein_LD45.5	protein_LD47.5	protein_LD48.5	protein_LD50.5	protein_mean.level	protein_max.level	protein_rhythm.pvalue	Ensemble.Genome.ID	protein.length	aa.synthesis.average.cost	RNA_LL4	RNA_LL8	RNA_LL12	RNA_LL16	RNA_LL20	RNA_LL24	RNA_LL28	RNA_LL32	RNA_LL36	RNA_LL40	RNA_LL44	RNA_LL48	RNA_LL52	RNA_LL56	RNA_LL60	RNA_LL64	RNA_LL68	RNA_LL72	RNA_LL76	RNA_LL80	RNA_LL84	RNA_LL88	RNA_mean.level	RNA_max.level	RNA_rhythm.pvalue
syc0001-h_at	ABB57571	P10340	0.861588711	0.962276766	1.038006325	0.972971233	1.138675562	0.977237221	0.938858192	0.862382629	0.985144643	1.159311116	1.349895035	0.810774349	0.819785061	0.780548691	0.867361218	0.996322642	1.107388477	1.21338885	1.133704838	1.19371321	1.00846673845	1.349895035	0.289515168304733	Synpcc7942_1541	170	19.63	133.0815897	96.66648485	121.2636425	123.0060583	142.1533569	129.8407936	114.4966897	81.81922535	98.31092326	106.2313453	135.5612944	180.6578881	199.5866941	138.102033	117.8803741	134.0794254	164.4221159	150.773839	181.6264985	150.3321292	76.43152178	146.7470397	132.866861938182	199.5866941	0.0130652362031884
syc0002-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	297.6119409	186.5720538	261.8373612	295.0752504	287.3537728	278.1006786	257.2639111	195.9453841	237.6313532	268.8799409	257.3017357	373.4730513	385.9141916	338.2750585	317.2088764	325.9873445	320.391487	357.3950577	315.721562	293.746351	326.7291302	255.2220591	292.438070545455	385.9141916	0.325892619446654
syc0003-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	260.1167934	393.6861379	284.5938967	268.5851405	268.4564997	245.6482337	237.9534999	352.9312414	292.4952759	241.3239458	246.4876549	270.8279336	394.4495111	385.7099175	298.9744943	303.1496903	328.8277964	295.862861	362.3194202	415.8881973	304.1788907	347.4298211	309.086220604545	415.8881973	0.0246006663163277
syc0004-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	171.1506154	182.7163862	181.3597418	170.4161566	129.4035856	175.0079425	159.5166142	197.831279	183.3379952	114.1837368	146.751943	153.7502656	249.2920797	195.8758569	172.9098908	126.8422611	175.1903363	167.4521235	212.477665	243.8134335	221.1662662	176.8143288	177.602750168182	249.2920797	0.00483031994437126
syc0005-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.40799818	140.4529944	96.65389018	69.43229517	61.17829882	82.60792874	80.05381136	110.1808427	94.85180754	67.70805561	60.71018571	75.34008799	133.850997	125.562328	114.9796868	92.44558022	106.90419	102.3459515	113.8623143	141.5275595	114.8437744	103.0368014	98.54260816	141.5275595	0.00412264872052944
syc0006-h_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	495.2068707	274.8052825	192.3600587	321.2429143	389.5421829	426.3839981	341.9030909	265.0491578	219.1958346	274.9448272	434.0370083	489.0315375	430.1507824	327.7955619	219.4159473	248.0470094	537.2509287	440.4784807	356.65964	358.758369	260.5392594	312.9956316	346.172471540909	537.2509287	1.12543813782739e-06
syc0007-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	154.4630866	152.459267	141.8972556	112.8669987	156.7100135	159.6329049	151.8180355	194.2752036	162.9940146	151.8407651	144.3370591	157.4100597	234.3546888	178.4259576	168.9948892	159.1236324	189.7985482	198.7203644	180.7883408	182.9725152	194.9108676	177.7958906	168.481379940909	234.3546888	0.343294311417922
syc0008-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.2889225	208.9589142	202.3185467	195.4277888	165.5258773	175.0029389	151.1980677	232.3886094	197.8930639	172.0780188	143.5216261	158.2214425	250.8340385	251.4023646	252.345609	200.3457385	183.0709633	207.0335046	245.6802305	285.0253591	242.3042099	210.055243	203.450958081818	285.0253591	0.0220709149495581
syc0009-m_at	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	222.2659575	274.5217041	290.9691377	215.2121987	234.3759612	212.2015805	228.3681461	294.710499	302.0268664	218.2823349	193.5214255	224.6992241	377.2882411	326.7497966	287.3256851	198.1802122	236.5479717	217.7238314	293.6797992	345.5659193	287.0467237	207.0145649	258.55808095	377.2882411	0.00414032635493852
syc0010-h_at	ABB57582	Q31MY7	1.053173687	0.973195294	0.96738645	0.957414499	1.093452697	1.048334794	1.07820167	1.102046704	1.050993427	0.950167125	0.905941178	0.960284679	0.864569678	0.943408967	0.933254301	1.068808749	1.072012872	1.051235455	1.085675407	1.161716078	1.01606368555	1.161716078	0.0330471509769864	Synpcc7942_1552	327	19.27	2176.71709	1741.46278	1867.895217	1907.86932	1817.161257	1813.864392	1891.887179	1436.924687	1664.428049	1884.358324	1895.063201	1975.582999	2022.001681	1903.731686	2261.516105	2276.223477	2304.80185	2404.719644	1978.890943	1850.153772	2872.285588	2662.943378	2027.74920995455	2872.285588	0.391216851253395
