Gene.ID	Gene.Name	DN	DS	Rat.homology.type
ENSMUSG00000064372	mt-Tp			
ENSMUSG00000064371	mt-Tt			
ENSMUSG00000064370	mt-Cytb			ortholog_one2one
ENSMUSG00000064369	mt-Te			
ENSMUSG00000064368	mt-Nd6			ortholog_one2one
ENSMUSG00000064367	mt-Nd5			ortholog_one2one
ENSMUSG00000064366	mt-Tl2			
ENSMUSG00000064365	mt-Ts2			
ENSMUSG00000064364	mt-Th			
ENSMUSG00000064363	mt-Nd4			ortholog_one2one
ENSMUSG00000065947	mt-Nd4l			ortholog_one2many
ENSMUSG00000065947	mt-Nd4l			ortholog_one2many
ENSMUSG00000064361	mt-Tr			
ENSMUSG00000064360	mt-Nd3			ortholog_one2one
ENSMUSG00000064359	mt-Tg			
ENSMUSG00000064358	mt-Co3			ortholog_one2one
ENSMUSG00000064357	mt-Atp6			ortholog_one2one
ENSMUSG00000064356	mt-Atp8			ortholog_one2one
ENSMUSG00000064355	mt-Tk			
ENSMUSG00000064354	mt-Co2			ortholog_one2one
ENSMUSG00000064353	mt-Td			
ENSMUSG00000064352	mt-Ts1			
ENSMUSG00000064351	mt-Co1			ortholog_one2one
ENSMUSG00000064350	mt-Ty			
ENSMUSG00000064349	mt-Tc			
ENSMUSG00000064348	mt-Tn			
ENSMUSG00000064347	mt-Ta			
ENSMUSG00000064346	mt-Tw			
ENSMUSG00000064345	mt-Nd2			ortholog_one2one
ENSMUSG00000064344	mt-Tm			
ENSMUSG00000064343	mt-Tq			
ENSMUSG00000064342	mt-Ti			
ENSMUSG00000064341	mt-Nd1			ortholog_one2one
ENSMUSG00000064340	mt-Tl1			
ENSMUSG00000064339	mt-Rnr2			
ENSMUSG00000064338	mt-Tv			
ENSMUSG00000064337	mt-Rnr1			
ENSMUSG00000064336	mt-Tf			
ENSMUSG00000108753	Gm45094			
ENSMUSG00000108486	Gm44836			
ENSMUSG00000033970	Rfc3	0.0081	0.3328	ortholog_one2one
ENSMUSG00000000632	Sez6	0.0154	0.1757	ortholog_one2one
ENSMUSG00000055730	Ces2a	0.0674	0.1712	ortholog_one2many
ENSMUSG00000055730	Ces2a	0.0665	0.1896	ortholog_one2many
ENSMUSG00000055730	Ces2a	0.1276	0.2448	ortholog_one2many
ENSMUSG00000036097	Slf2	0.0245	0.1205	ortholog_one2one
ENSMUSG00000055447	Cd47	0.069	0.2036	ortholog_one2one
ENSMUSG00000027887	Sypl2	0.0115	0.0963	ortholog_one2one
ENSMUSG00000087445	Gm14286			
ENSMUSG00000017670	Elmo2	0.0062	0.2195	ortholog_one2one
ENSMUSG00000006356	Crip2	0.0021	0.2315	ortholog_one2one
ENSMUSG00000112974	Gm18026			
ENSMUSG00000055491	Pprc1	0.0621	0.1732	ortholog_one2one
ENSMUSG00000034083	Ccdc174	0.0342	0.152	ortholog_one2one
ENSMUSG00000101067	Gm29007			
ENSMUSG00000117965	AC141477.1			
ENSMUSG00000067787	Blcap	0	0	ortholog_one2one
ENSMUSG00000036144	Meox2	0.003	0.1542	ortholog_one2one
ENSMUSG00000106243	Gm5050			
ENSMUSG00000050860	Phospho1	0	0	ortholog_one2one
ENSMUSG00000042446	Zmym4	0.0105	0.1675	ortholog_one2one
ENSMUSG00000025469	Msx3	0.0157	0.2482	ortholog_one2one
ENSMUSG00000021534	1700001L19Rik	0.0895	0.2712	ortholog_one2one
ENSMUSG00000091060	Myocos			
ENSMUSG00000043263	Ifi209			
ENSMUSG00000101409	1700122D07Rik			
ENSMUSG00000020482	Ccdc117	0.0469	0.1351	ortholog_one2one
ENSMUSG00000113764	Gm48617			
ENSMUSG00000099811	Gm28411			
ENSMUSG00000059278	Naa38	0.0037	0.1162	ortholog_one2one
ENSMUSG00000114052	Gm48616			
ENSMUSG00000093963	Gm21909			
ENSMUSG00000082981	Polr2k-ps			
ENSMUSG00000116319	Gm49429			
ENSMUSG00000081719	Gm13726			
ENSMUSG00000103821	D430013B06Rik			
ENSMUSG00000116368	Cyp2d33-ps			
ENSMUSG00000018381	Abi3	0.0276	0.1561	ortholog_one2one
ENSMUSG00000073964	Olfr570			
ENSMUSG00000026697	Myoc	0.034	0.2329	ortholog_one2one
ENSMUSG00000047361	Gm973	0.1004	0.1717	ortholog_one2one
ENSMUSG00000067786	Nnat			
ENSMUSG00000082402	Gm15621			
ENSMUSG00000029401	Rilpl2	0.0217	0.224	ortholog_one2one
ENSMUSG00000043310	Olfr571	0.0359	0.1694	ortholog_one2one
ENSMUSG00000001755	Coasy	0.0222	0.168	ortholog_one2one
ENSMUSG00000028687	Mutyh	0.0528	0.2043	ortholog_one2one
ENSMUSG00000044795	Cyb5d1	0.0444	0.1822	ortholog_one2one
ENSMUSG00000026209	Dnpep	0.0129	0.1675	ortholog_one2one
ENSMUSG00000110918	Gm48862			
ENSMUSG00000111778	Gm30676			
ENSMUSG00000067750	Khdc1a	0.2015	0.3285	ortholog_one2many
ENSMUSG00000027225	Duoxa2	0.0521	0.2199	ortholog_one2one
ENSMUSG00000111396	Gm7333			
ENSMUSG00000034723	Tmx4	0.0467	0.1512	ortholog_one2one
ENSMUSG00000039684	Gm5422			
ENSMUSG00000111610	Gm34829			
ENSMUSG00000045377	Tmem88	0.0366	0.0747	ortholog_one2one
ENSMUSG00000115914	Cyp2d34-ps			
ENSMUSG00000075142	Olfr74	0.0591	0.1692	ortholog_one2one
ENSMUSG00000063334	Krr1	0.0181	0.2469	ortholog_one2one
ENSMUSG00000101463	Gm28750			
ENSMUSG00000082044	Snrpert			
ENSMUSG00000111335	Gm39375			
ENSMUSG00000029402	Snrnp35	0.0093	0.1836	ortholog_one2one
ENSMUSG00000111850	Gm47829			
ENSMUSG00000111184	Gm49661			
ENSMUSG00000037514	Pank2	0.0116	0.1438	ortholog_one2one
ENSMUSG00000052837	Junb	0.0013	0.0885	ortholog_one2one
ENSMUSG00000112007	Gm18119			
ENSMUSG00000089936	Gm16199			
ENSMUSG00000022468	Endou	0.081	0.5041	ortholog_one2one
ENSMUSG00000112912	Gm48160			
ENSMUSG00000102417	Gm36939			
ENSMUSG00000026963	Tmem210	0.0925	0.0945	ortholog_one2one
ENSMUSG00000102456	Gm37508			
ENSMUSG00000061080	Lsamp	0.0034	0.0687	ortholog_one2one
ENSMUSG00000027224	Duoxa1	0.0282	0.2149	ortholog_one2one
ENSMUSG00000052926	Rnaseh2a	0.0366	0.1804	ortholog_one2one
ENSMUSG00000040187	Arntl2	0.1525	0.2733	ortholog_one2one
ENSMUSG00000112517	Gm48001			
ENSMUSG00000118204	4930414N06Rik			
ENSMUSG00000101826	Gm8581			
ENSMUSG00000020713	Gh	0.0169	0.1677	ortholog_one2one
ENSMUSG00000020658	Efr3b	0.0044	0.2108	ortholog_one2one
ENSMUSG00000102685	Gm37373			
ENSMUSG00000006392	Med8			
ENSMUSG00000101151	Gm17929			
ENSMUSG00000026021	Sumo1	0	0	ortholog_one2one
ENSMUSG00000108739	Gm45096			
ENSMUSG00000108657	Gm35611			
ENSMUSG00000028863	Meaf6	0.0183	0.1822	ortholog_one2one
ENSMUSG00000035711	Dok3	0.0427	0.2337	ortholog_one2one
ENSMUSG00000029049	Morn1	0.057	0.182	ortholog_one2one
ENSMUSG00000086191	Zfp652os			
ENSMUSG00000087029	Gm14133			
ENSMUSG00000057000	Nxf3	0.1238	0.1832	ortholog_one2one
ENSMUSG00000085134	Gm11659			
ENSMUSG00000038611	Phrf1	0.0391	0.1421	ortholog_one2one
ENSMUSG00000081494	Gm14130			
ENSMUSG00000117180	Gm19399			
ENSMUSG00000040592	Cd79b	0.0808	0.1924	ortholog_one2one
ENSMUSG00000023992	Trem2	0.1181	0.2721	ortholog_one2one
ENSMUSG00000034957	Cebpa	0.007	0.2462	ortholog_one2one
ENSMUSG00000061062	Gm10093			
ENSMUSG00000026663	Atf6	0.0227	0.2089	ortholog_one2one
ENSMUSG00000090777	Ccdc188	0.0476	0.1425	ortholog_one2one
ENSMUSG00000108624	Gm45091			
ENSMUSG00000074736	Syndig1	0.007	0.146	ortholog_one2one
ENSMUSG00000038116	Phf20	0.0239	0.1814	ortholog_one2one
ENSMUSG00000087547	Platr27			
ENSMUSG00000056888	Glipr1	0.1018	0.2897	ortholog_one2one
ENSMUSG00000032551	1110059G10Rik	0.0206	0.2158	ortholog_one2one
ENSMUSG00000029076	Sdf4	0.0124	0.1884	ortholog_one2one
ENSMUSG00000052488	Cherp	0.0067	0.2109	ortholog_one2one
ENSMUSG00000111050	Gm47877			
ENSMUSG00000001027	Scn4a	0.0129	0.2831	ortholog_one2one
ENSMUSG00000035200	Chrnb4	0.0169	0.194	ortholog_one2one
ENSMUSG00000062793	Olfr1158	0.0622	0.206	ortholog_one2many
ENSMUSG00000082498	Gm12937			
ENSMUSG00000074737	C530025M09Rik			
ENSMUSG00000018401	Mtmr4	0.0188	0.1334	ortholog_one2one
ENSMUSG00000081345	Olfr1159-ps1			
ENSMUSG00000028830	AU040320	0.0495	0.1986	ortholog_one2one
ENSMUSG00000117245	Gm49887			
ENSMUSG00000094873	Gm13812			
ENSMUSG00000045019	Acer1	0.0418	0.2265	ortholog_one2one
ENSMUSG00000109873	Gm45407			
ENSMUSG00000026835	Fcnb	0.0649	0.2756	ortholog_one2one
ENSMUSG00000109732	Gm45285			
ENSMUSG00000117810	Gm8934			
ENSMUSG00000084160	Gm13345			
ENSMUSG00000097882	0610038B21Rik			
ENSMUSG00000118309	Gm50261			
ENSMUSG00000036775	Decr2			
ENSMUSG00000026734	4921504E06Rik	0.1645	0.3224	ortholog_one2one
ENSMUSG00000095203	Gm13810			
ENSMUSG00000023330	Dtwd1	0.0664	0.1961	ortholog_one2one
ENSMUSG00000035356	Nfkbiz	0.0978	0.3342	ortholog_one2one
ENSMUSG00000117735	Gm18963			
ENSMUSG00000026659	Dusp12	0.0498	0.2353	ortholog_one2one
ENSMUSG00000117932	Gm21046			
ENSMUSG00000037148	Arhgap10	0.0071	0.2065	ortholog_one2one
ENSMUSG00000002660	Clpp	0.0457	0.3211	ortholog_one2one
ENSMUSG00000111943	Gm47862			
ENSMUSG00000118271	Gm50262			
ENSMUSG00000038179	Slamf7	0.231	0.2816	ortholog_one2one
