Uniprot.ID	Gene.Name	CT03	CT07	CT11	CT15	CT19	CT23	CT27	CT31	CT35	CT39	CT43	CT47	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
A0A023ZT56	Dmd	0	0.489093121	-0.248228697	0.237506458	0.432020368	-1.021952411	-0.886568676	-1.610940633	1.300124446	-0.938306111	-3.60734989	-2.380719409	-0.686276786166667	1.300124446	0.285251973164117	NA	NA	NA
A0A075B5M7	Igkv5-39	0	3.849462566	1.07992079	2.047401155	1.326957779	0.140787146	2.98045576	1.431876227	3.921543568	2.871679627	2.845382513	3.54696702	2.17020284591667	3.921543568	0.764344424637933	NA	NA	NA
A0A075B5P5	Ighg3	0	0.297439611	-0.870594373	-0.355851666	-1.626892364	-0.510628517	0.028457402	0.110521937	0.352289901	-0.935309542	0.048455667	-0.131873808	-0.299498812666667	0.352289901	0.142801520414861	NA	NA	NA
A0A075B5P6	Ighm	0	0.499242469	-0.069512486	0.066784687	-0.05022014	-0.337878863	0.859456736	0.363147526	1.036837705	0.07399834	0.718512477	0.626296236	0.315555390583333	1.036837705	0.782381491759943	NA	NA	NA
A0A075B6A0	Ighm	0	0.499242469	-0.069512486	0.066784687	-0.05022014	-0.337878863	0.859456736	0.363147526	1.036837705	0.07399834	0.718512477	0.626296236	0.315555390583333	1.036837705	0.782381491759943	NA	NA	NA
A0A087WNN7	Idh1	0	0.318358951	0.430986997	0.201201941	0.441330542	0.53924785	0.23941218	0.464924837	0.035435207	0.36254199	0.549419368	0.325062691	0.325660212833333	0.549419368	0.559119799506774	NA	NA	NA
A0A087WNP6	Cdv3	0	0.161009161	0.415010312	0.332688734	0.598948245	0.456366762	0.233081494	0.279332092	-0.001110186	0.446494931	0.446112582	0.541841892	0.32581466825	0.598948245	0.0858873073644769	NA	NA	NA
A0A087WNQ4	Hdlbp	0	-0.08730584	0.443286136	0.065083467	0.29826606	0.409534903	0.165381744	0.309049913	-0.227394981	0.178878579	0.379476413	0.221647323	0.179658643083333	0.443286136	0.198923817088887	NA	NA	NA
A0A087WNS2	Sf3b1	0	0.227833934	0.306820793	0.320277523	0.218718541	0.271676653	0.035645713	0.193986158	0.130445549	0.27261286	0.44595968	0.447735303	0.23930939225	0.447735303	0.19886881366857	NA	NA	NA
A0A087WNS6	Nop58	0	0.008400743	-0.96008256	-0.154317315	-0.382907455	-0.314381849	-0.253577173	0.079143706	0.239708254	-0.608902186	0.45257765	0.065507915	-0.1524025225	0.45257765	0.815024396805313	NA	NA	NA
A0A087WNT1	Eloc Tceb1	0	0.162343213	0.261586988	0.120188503	0.459480765	0.045819012	0.345983986	0.213545251	0.435857253	0.424853859	0.096033823	0.000337733	0.2138358655	0.459480765	0.229660412356864	NA	NA	NA
A0A087WNU5	Ank3	0	0.41983369	-0.344478967	0.105004514	0.119809732	0.315994172	0.267885975	-0.270274984	0.498565708	-0.019071671	-0.594273749	-0.688292654	-0.0157748528333333	0.498565708	0.660791619112091	NA	NA	NA
A0A087WNV1	Agfg1	0	0.583311242	0.480339301	-0.169318226	0.302481755	0.34341131	0.438365364	0.632989084	0.233890971	0.33951347	0.732104747	0.701794042	0.384906921666667	0.732104747	0.778244564847401	NA	NA	NA
A0A087WNW0	Nop58	0	0.008400743	-0.96008256	-0.154317315	-0.382907455	-0.314381849	-0.253577173	0.079143706	0.239708254	-0.608902186	0.45257765	0.065507915	-0.1524025225	0.45257765	0.815024396805313	NA	NA	NA
A0A087WNX3	Dnpep	0	0.416144434	0.260315832	0.300186913	0.154402515	0.429300362	0.354630007	0.235133463	0.226195428	-0.002751534	0.230631641	0.258040052	0.23851909275	0.429300362	0.582279269054829	NA	NA	NA
A0A087WNY6	Tardbp	0	0.174827204	0.097240003	0.187388241	0.115209003	0.11040636	0.015362674	-0.018456447	-0.065829534	0.066529453	0.175931078	0.149218657	0.0839855576666667	0.187388241	0.212625948668333	NA	NA	NA
A0A087WP14	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WP19	Tpp2	0	0.178764622	0.109867499	-0.428506259	-0.092092264	-0.161498738	-0.134935602	-0.048084648	-0.17079525	-0.029878092	-0.44631562	-0.52644639	-0.1458267285	0.178764622	0.148661650969266	NA	NA	NA
A0A087WP57	Tardbp	0	0.174827204	0.097240003	0.187388241	0.115209003	0.11040636	0.015362674	-0.018456447	-0.065829534	0.066529453	0.175931078	0.149218657	0.0839855576666667	0.187388241	0.212625948668333	NA	NA	NA
A0A087WP81	Uchl5	0	0.670655407	0.766250612	0.686461722	1.161490079	1.105431714	0.310316303	0.838884014	0.616949542	1.246407359	1.051301955	0.859904652	0.77617111325	1.246407359	0.0669593406898948	NA	NA	NA
A0A087WP83	Hdlbp	0	-0.08730584	0.443286136	0.065083467	0.29826606	0.409534903	0.165381744	0.309049913	-0.227394981	0.178878579	0.379476413	0.221647323	0.179658643083333	0.443286136	0.198923817088887	NA	NA	NA
A0A087WPC5	Hdlbp	0	-0.08730584	0.443286136	0.065083467	0.29826606	0.409534903	0.165381744	0.309049913	-0.227394981	0.178878579	0.379476413	0.221647323	0.179658643083333	0.443286136	0.198923817088887	NA	NA	NA
A0A087WPC7	Tns1	0	0.0692669	-0.122473131	0.11664974	0.084606459	-0.18276722	0.067098073	0.025736975	0.351245892	0.256683024	0.104067858	0.116924665	0.07391993625	0.351245892	0.330672277562329	NA	NA	NA
A0A087WPE4	Eloc Tceb1	0	0.162343213	0.261586988	0.120188503	0.459480765	0.045819012	0.345983986	0.213545251	0.435857253	0.424853859	0.096033823	0.000337733	0.2138358655	0.459480765	0.229660412356864	NA	NA	NA
A0A087WPF9	Bzw1	0	0.254188962	-0.144630623	0.213263228	0.019597352	0.428892166	0.188749248	-0.017015327	-0.034033248	-0.134125788	0.020566513	0.2622272	0.0881399735833333	0.428892166	0.211981813685491	NA	NA	NA
A0A087WPH2	Hdlbp	0	-0.08730584	0.443286136	0.065083467	0.29826606	0.409534903	0.165381744	0.309049913	-0.227394981	0.178878579	0.379476413	0.221647323	0.179658643083333	0.443286136	0.198923817088887	NA	NA	NA
A0A087WPH7	Psmc3	0	0.166659736	0.585589796	0.22976505	0.805097524	0.921929787	-0.339916102	0.433830409	0.16996941	0.725831631	0.807582446	0.596731776	0.42525595525	0.921929787	0.135917220850509	NA	NA	NA
A0A087WPR6	Actr3	0	0.349629835	0.23223114	0.217906836	0.311871604	0.339231942	0.339372514	0.33412752	0.301304099	0.098472478	0.359205789	0.337928298	0.26844017125	0.359205789	0.0578716529418753	NA	NA	NA
A0A087WPR7	Dst	0	1.102692325	0.771744991	0.353378305	0.907735261	1.002641182	1.045939189	0.658778782	0.934416735	0.762668016	0.685256683	0.8536874	0.756578239083333	1.102692325	0.248274510103655	NA	NA	NA
A0A087WPT3	Twf2	0	0.004014999	-0.531852984	0.235088805	0.453161548	-0.072343905	-0.446710769	-0.248246254	-0.422524651	-0.604159364	-0.215023402	-0.557268362	-0.200488694916667	0.453161548	0.763011046244603	NA	NA	NA
A0A087WPV7	Gmppa	0	0.367542412	0.37378927	0.265823239	0.034221757	0.595322109	0.577755486	0.236287414	0.108176544	0.281592761	0.301540998	0.225386853	0.280619903583333	0.595322109	0.782327534420827	NA	NA	NA
A0A087WPW5	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WPX0	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WPY8	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WQ14	Actr3	0	0.349629835	0.23223114	0.217906836	0.311871604	0.339231942	0.339372514	0.33412752	0.301304099	0.098472478	0.359205789	0.337928298	0.26844017125	0.359205789	0.0578716529418753	NA	NA	NA
A0A087WQ25	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WQ46	Nop58	0	0.008400743	-0.96008256	-0.154317315	-0.382907455	-0.314381849	-0.253577173	0.079143706	0.239708254	-0.608902186	0.45257765	0.065507915	-0.1524025225	0.45257765	0.815024396805313	NA	NA	NA
A0A087WQ63	Tardbp	0	0.174827204	0.097240003	0.187388241	0.115209003	0.11040636	0.015362674	-0.018456447	-0.065829534	0.066529453	0.175931078	0.149218657	0.0839855576666667	0.187388241	0.212625948668333	NA	NA	NA
A0A087WQ77	Ndufs1	0	-0.056205321	0.147643984	-0.363676789	-0.092785852	0.198582927	-0.034758687	-0.043738323	0.018091984	0.045192068	0.065807052	-0.190296815	-0.025511981	0.198582927	0.928677558665773	NA	NA	NA
A0A087WQ94	Tns1	0	0.0692669	-0.122473131	0.11664974	0.084606459	-0.18276722	0.067098073	0.025736975	0.351245892	0.256683024	0.104067858	0.116924665	0.07391993625	0.351245892	0.330672277562329	NA	NA	NA
A0A087WQA5	Tardbp	0	0.174827204	0.097240003	0.187388241	0.115209003	0.11040636	0.015362674	-0.018456447	-0.065829534	0.066529453	0.175931078	0.149218657	0.0839855576666667	0.187388241	0.212625948668333	NA	NA	NA
A0A087WQD0	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WQE6	Eloc Tceb1	0	0.162343213	0.261586988	0.120188503	0.459480765	0.045819012	0.345983986	0.213545251	0.435857253	0.424853859	0.096033823	0.000337733	0.2138358655	0.459480765	0.229660412356864	NA	NA	NA
A0A087WQF8	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WQM1	Serpine2	0	0.292598759	0.150387749	0.110362662	0.406435504	0.424370772	0.351002296	0.400503963	0.221387906	0.738211049	0.433044511	0.580064768	0.342364161583333	0.738211049	0.452306268712159	NA	NA	NA
A0A087WQR0	Ndufs1	0	-0.056205321	0.147643984	-0.363676789	-0.092785852	0.198582927	-0.034758687	-0.043738323	0.018091984	0.045192068	0.065807052	-0.190296815	-0.025511981	0.198582927	0.928677558665773	NA	NA	NA
A0A087WQR6	Tpp2	0	0.178764622	0.109867499	-0.428506259	-0.092092264	-0.161498738	-0.134935602	-0.048084648	-0.17079525	-0.029878092	-0.44631562	-0.52644639	-0.1458267285	0.178764622	0.148661650969266	NA	NA	NA
A0A087WQS0	Tns1	0	0.0692669	-0.122473131	0.11664974	0.084606459	-0.18276722	0.067098073	0.025736975	0.351245892	0.256683024	0.104067858	0.116924665	0.07391993625	0.351245892	0.330672277562329	NA	NA	NA
A0A087WQV7	Ddx3y	0	0.003540379	0.363293485	0.30905202	0.448421474	0.812191271	-0.045600482	0.185459074	0.307608726	0.271253715	0.302471171	0.334802991	0.274374485333333	0.812191271	0.197480007930827	NA	NA	NA
A0A087WQX8	Tardbp	0	0.174827204	0.097240003	0.187388241	0.115209003	0.11040636	0.015362674	-0.018456447	-0.065829534	0.066529453	0.175931078	0.149218657	0.0839855576666667	0.187388241	0.212625948668333	NA	NA	NA
A0A087WQY9	Hdlbp	0	-0.08730584	0.443286136	0.065083467	0.29826606	0.409534903	0.165381744	0.309049913	-0.227394981	0.178878579	0.379476413	0.221647323	0.179658643083333	0.443286136	0.198923817088887	NA	NA	NA
A0A087WR29	Tns1	0	0.0692669	-0.122473131	0.11664974	0.084606459	-0.18276722	0.067098073	0.025736975	0.351245892	0.256683024	0.104067858	0.116924665	0.07391993625	0.351245892	0.330672277562329	NA	NA	NA
A0A087WR47	Ndufs1	0	-0.056205321	0.147643984	-0.363676789	-0.092785852	0.198582927	-0.034758687	-0.043738323	0.018091984	0.045192068	0.065807052	-0.190296815	-0.025511981	0.198582927	0.928677558665773	NA	NA	NA
A0A087WR52	Agfg1	0	0.583311242	0.480339301	-0.169318226	0.302481755	0.34341131	0.438365364	0.632989084	0.233890971	0.33951347	0.732104747	0.701794042	0.384906921666667	0.732104747	0.778244564847401	NA	NA	NA
A0A087WR91	Ktn1	0	-0.091369151	0.057189692	-0.207598506	-0.209594138	-0.778949986	-0.012934383	0.009752351	-0.129235991	-0.244085072	-0.519410001	-0.663294391	-0.232460798	0.057189692	0.0441524044654067	NA	NA	NA
A0A087WRA1	Actr3	0	0.349629835	0.23223114	0.217906836	0.311871604	0.339231942	0.339372514	0.33412752	0.301304099	0.098472478	0.359205789	0.337928298	0.26844017125	0.359205789	0.0578716529418753	NA	NA	NA
A0A087WRA7	Ppp1r7	0	0.536007195	0.129417072	0.380482871	0.576884179	0.378923624	0.279801785	0.462074904	0.367742359	0.465312295	0.481586713	0.637426589	0.3913049655	0.637426589	0.538662568986009	NA	NA	NA
A0A087WRB4	Tuba4a	0	0.795526039	-0.356145313	-0.237832609	-0.375411494	-0.692080811	-1.170102006	-0.546027412	-0.178017134	-0.479325168	-3.400428983	-1.95312092	-0.71608048425	0.795526039	0.167665904458468	NA	NA	NA
A0A087WRG4	Twf2	0	0.004014999	-0.531852984	0.235088805	0.453161548	-0.072343905	-0.446710769	-0.248246254	-0.422524651	-0.604159364	-0.215023402	-0.557268362	-0.200488694916667	0.453161548	0.763011046244603	NA	NA	NA
A0A087WRJ2	Abhd14b	0	0.13294322	0.318495331	0.238830967	0.254491678	0.275543923	0.257181271	0.288471193	0.11622346	0.275018676	0.550996185	0.479676068	0.265655997666667	0.550996185	0.25219834159883	NA	NA	NA
A0A087WRL1	Agfg1	0	0.583311242	0.480339301	-0.169318226	0.302481755	0.34341131	0.438365364	0.632989084	0.233890971	0.33951347	0.732104747	0.701794042	0.384906921666667	0.732104747	0.778244564847401	NA	NA	NA
A0A087WRL3	Uchl5	0	0.670655407	0.766250612	0.686461722	1.161490079	1.105431714	0.310316303	0.838884014	0.616949542	1.246407359	1.051301955	0.859904652	0.77617111325	1.246407359	0.0669593406898948	NA	NA	NA
A0A087WRM4	Idh1	0	0.318358951	0.430986997	0.201201941	0.441330542	0.53924785	0.23941218	0.464924837	0.035435207	0.36254199	0.549419368	0.325062691	0.325660212833333	0.549419368	0.559119799506774	NA	NA	NA
A0A087WRM5	Ncl	0	0.189402138	-0.089744633	0.705869593	0.639333383	0.669509131	-0.297819519	-0.20240118	0.271061939	0.549783506	0.248191189	0.286716926	0.24749187275	0.705869593	0.0949083074981985	NA	NA	NA
A0A087WRP2	Lama2	0	1.351341431	0.079390438	0.691365608	0.710408421	0.821685084	0.241678269	-0.257399307	0.797613451	0.510089877	-0.127184063	0.343858328	0.43023729475	1.351341431	0.719333796549989	NA	NA	NA
A0A087WRP4	Tardbp	0	0.174827204	0.097240003	0.187388241	0.115209003	0.11040636	0.015362674	-0.018456447	-0.065829534	0.066529453	0.175931078	0.149218657	0.0839855576666667	0.187388241	0.212625948668333	NA	NA	NA
A0A087WRP9	Ank3	0	0.41983369	-0.344478967	0.105004514	0.119809732	0.315994172	0.267885975	-0.270274984	0.498565708	-0.019071671	-0.594273749	-0.688292654	-0.0157748528333333	0.498565708	0.660791619112091	NA	NA	NA
A0A087WRS9	Idh1	0	0.318358951	0.430986997	0.201201941	0.441330542	0.53924785	0.23941218	0.464924837	0.035435207	0.36254199	0.549419368	0.325062691	0.325660212833333	0.549419368	0.559119799506774	NA	NA	NA
