Protein Name,CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,CT3,CT7,CT11,CT15,CT19,CT23,CT27,CT31,CT35,CT39,CT43,CT47
Cofilin-1,Cfl1,0.322569305,0.608447857,20.16161616,7.907566244,0.162609345,1,1,28,19,0.125226372,0.932805792,1,20,15.42619823,0.296936439,0.879271138,0.999999999,22.72053872,14.48605545,0.175174608,0.123421562,0.123421562,0,0.458768218,0.177706713,0.207560566,0.331354041,0.405394297,0.060160969,0.396625437,0.023161451,-0.463407862,0.237684589,0.346274208
Cofilin-2,Cfl2,0.03194999,0.236108713,24,9.411110638,0.285109417,0.096845539,0.706684773,28,7,0.240645936,0.186547124,1,25.60311284,5.900131005,-0.126899016,0.020931553,0.212780058,25.86770428,7.477774171,-0.390793147,0.328817008,0.328817008,0,-0.127377142,-0.09599356,-0.444164202,-0.326193089,-0.653017656,-0.351293448,-0.201046423,0.139381185,-0.46236089,-1.006939045,-1.024519628
Beta-2-syntrophin (59 kDa dystrophin-associated protein A1 basic component 2) (Syntrophin-3) (SNT3) (Syntrophin-like) (SNTL),Sntb2,0.17318513,0.471459187,21.12169312,2.364912571,0.140152956,0.377646329,1,20,3,0.19190148,0.5757619,1,20,3.00007483,0.04482429,0.363610207,0.999999999,20.37389771,2.798359171,-0.213521891,0.160463095,0.160463095,0,-0.058685776,-0.058626068,-0.514656718,-0.258923711,-0.050213867,-0.190659035,-0.330075451,-0.514805835,0.055775859,-0.136113179,-0.294381219
Alpha-1-syntrophin,Snta1,0.918937631,0.962012833,24,16.20415102,0.094538299,1,1,20,1,0.3336394,0.955214438,1,20,1.528023829,0.292629986,0.999665092,0.999999999,21.33333333,21.03827164,0.211107829,0.198497933,0.198497933,0,0.707294214,-0.256558211,-0.303758486,0.460689458,0.932511359,-0.592532684,-0.005573953,0.620276419,0.971579742,-0.1551505,0.25382248
Glia-derived nexin (Fragment),Serpine2,0.815189481,0.907750762,24,21.03323906,0.038419082,1,1,28,23,0.184670382,0.969563548,1,24.2804428,22.7194984,0.58599438,0.998179306,0.999999999,25.42681427,22.31989823,0.344029612,0.034812215,0.034812215,0,0.292598759,0.150387749,0.110362662,0.406435504,0.424370772,0.351002296,0.400503963,0.221387906,0.738211049,0.433044511,0.580064768
Nestin,Nes,0.371046731,0.651223192,24,7.454581005,0.818108204,1,1,24,9,1.053735582,0.605404164,1,27.30290456,3.457900164,0.929903859,0.810530225,0.999999999,25.10096819,6.914129904,-0.120148356,1.023723503,1.023723503,0,2.515275356,-1.17770005,-0.953667952,0.756412628,0.134431076,0.503228408,0.248509919,1.872254905,-0.423139869,-2.817646173,-1.99286684
Receptor of activated protein C kinase 1 (12-3) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor for activat... <Preview truncated at 128 characters>,Rack1 Gnb2-rs1 Gnb2l1,0.773208232,0.883839086,24,21.49639276,0.058313222,1,1,28,23,0.205017944,0.959537745,1,28,24.50151397,0.474010493,0.996449952,0.999999999,26.66666667,23.0441127,0.294902851,0.092610016,0.092610016,0,0.124639902,0.381979646,0.115966435,0.412410692,0.641528056,0.274414166,0.499946647,0.093415207,0.280490665,0.405098365,0.201550113
Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)],Dag1,0.530034151,0.756312041,24,12.95272351,0.105021882,1,1,20,17,0.152817088,0.990902505,1,22.76816609,12.02440128,0.727396513,0.972320392,0.999999999,22.25605536,13.72738363,0.587435566,0.109410071,0.109410071,0,0.737289914,0.325419365,0.603844049,0.694447936,0.607218978,0.751336434,0.491357981,0.823334977,0.865268825,0.521385375,0.531754595
AP-2 complex subunit alpha-1,Ap2a1,0.797158788,0.902250938,26.43708609,6.208322515,0.045679611,1,1,28,17,0.122600744,1,1,20,1.580555483,0.242706985,0.998360189,0.999999999,24.81236203,5.321734034,0.140206494,0.044445212,0.044445212,0,0.140105207,0.17632729,-0.297232989,0.269670926,0.206016535,-0.041463868,0.250368644,0.271819,0.319781116,0.118275697,0.263805705
Solute carrier family 12 member 2,Slc12a2,0.652533346,0.829882789,24,19.69622428,0.118061212,1,1,28,19,0.252747913,0.999917399,1,20,18.83271428,0.195038189,0.990548451,0.999999999,24,19.55022364,-0.138622711,0.141181505,0.141181505,0,0.229613974,-0.411887621,0.357614403,-0.054253054,0.434437493,-0.334324695,-0.528835591,0.010173579,-0.409543457,-0.550976527,-0.405491032
Rho GDP-dissociation inhibitor 2 (Fragment),Arhgdib,0.058458004,0.292091858,25.26582278,12.73443935,0.440046876,1,1,28,15,0.76793815,0.773936907,1,25.60311284,18.52484472,2.012434364,0.40209213,0.999999999,26.28964521,15.33326008,1.239375244,0.346601726,0.279658422,0,0.437598562,1.404476312,1.378482886,1.267426671,0.062247328,1.44371234,1.527576158,1.589491798,1.994707436,2.097718165,1.933285192
"Heterogeneous nuclear ribonucleoprotein D, isoform CRA_a (Heterogeneous nuclear ribonucleoprotein D0)",Hnrnpd,0.803107046,0.902875891,24,5.052261404,0.071668611,1,1,28,23,0.190972615,0.997083886,1,20,6.999924556,0.881191002,0.998451026,0.999999999,24,5.602262403,0.52262279,0.083086123,0.083086123,0,0.620052822,0.609182107,-0.11361471,0.644626,0.401826797,0.563906662,0.749795819,0.435034634,0.616275392,0.920883119,0.82350484
Prohibitin-2 (B-cell receptor-associated protein BAP37) (Repressor of estrogen receptor activity),Phb2,0.904736888,0.954604276,24,22.21797768,0.013259046,1,1,28,17,0.040830588,0.998154402,1,27.76371308,23.58747601,0.103698863,0.999836321,0.999999999,26.58790436,21.44036746,0.104759173,0.0137179,0.0137179,0,0.145541127,0.101084494,0.009984995,0.103393547,0.204774001,-0.004638467,0.101700475,0.13870937,0.067601355,0.191627179,0.185799517
