"mRNAs identified in Ito et. al and analyzed by Pearson correlation: column headers show the transcript codes as identified by Ito et al. (Transcript accession); the names of the proteins as seen in Uniprot database (Protein name); gene names as seen in the Cyanobase (Gene names); the Uniprot accession numbers of all proteins (Uniprot Accession); the log2-mean-ratio normalized retrieved from GEO (GSE14225) from each time-point X (hours in LL) (LL.X); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); the cluster number corresponding to each significant protein (Cluster nr); categorization of the protein corresponding to this mRNA, as cyclic (TRUE) and not-cyclic (FALSE), as determined by the Pearson correlation (Cyclic protein); the subjective phase, light (L) or dark (D), at which the mRNA profile shows a maximum abundance (Peak phase (subjective)); the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase protein); the relationship between the mRNA peak phase and the protein peak phase, being in-phase (in), out of phase (out) or anti-phase (out (anti)); the delay between the maximum abundance observed at the mRNA level comparing to the maximum abundance at the protein level (delay (h)) (average delays account for different delays between the 2 days); the functional category at which the protein belongs to, based on the Cyanobase (Function category); the pathway to which the protein belongs, according to KEGG (KEGG); and the biological process in which the protein is involved, according to Gene Ontology (GO_BP).",,,,,,,,,,,,,,,,,,,,,,,,,,
(av) average delay based on 2 numbers,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcript accession,protein name,gene name,Accession,LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48,Pearson corr,p-value,Cluster nr,Cyclic protein,Peak phase (subjective),Peak phase protein,in/out phase,delay (h),Function category,KEGG,GO_BP
syc0001-h_at,flavodoxin,Synpcc7942_1541,P10340,0.27976014,-0.21649201,-0.16716783,-0.06399451,0.18752313,0.05966179,0.10323716,-0.27557055,-0.63107149,-0.10463267,0.1529619,0.16674452,0.80038097,0.0370,2,FALSE,-,-,-,-,-,-,-
syc0003-m_at,panthotenate metabolism flavoprotein,Synpcc7942_1544,Q31MZ5,0.04169489,0.32447587,-0.09334164,-0.12510029,-0.06679491,-0.20704397,-0.08383431,0.29998623,-0.06113853,-0.10395888,-0.18524456,-0.21358571,0.93179372,0.0021,1,FALSE,-,-,-,-,-,-,-
syc0005-m_at,similar to C termimus of tlr0652 (putative ribonuclease II),Synpcc7942_1546,Q31MZ3,0.04380971,0.40906319,0.07595701,-0.32000484,-0.3064772,-0.12127925,-0.06701619,0.32029586,0.06152756,-0.25990279,-0.48351184,-0.00881594,0.92087649,0.0032,1,FALSE,-,-,-,-,-,-,-
syc0006-h_at,probable amidase,Synpcc7942_1548,Q31MZ1,0.37436101,-0.24647286,-0.79333706,-0.33493679,0.36161193,0.28353653,-0.02800817,-0.20743967,-0.57521531,-0.27943356,0.33691212,0.44552217,0.89086213,0.0078,2,FALSE,-,-,-,-,-,-,-
syc0008-m_at,DNA polymerase V,Synpcc7942_1550,Q31MY9,-0.0873185,0.17646134,0.15586735,-0.0355837,-0.22041755,-0.09152572,-0.07353669,0.34366739,0.11062283,-0.09323162,-0.31857311,-0.22000979,0.94297994,0.0013,1,FALSE,-,-,-,-,-,-,-
syc0009-m_at,hypothetical protein,Synpcc7942_1551,Q31MY8,0.17431987,0.22289608,0.17211936,-0.31337081,-0.1241785,-0.25568983,0.01314554,0.3144725,0.19832404,-0.27169337,-0.32606397,-0.35593111,0.91246427,0.0043,1,FALSE,-,-,-,-,-,-,-
syc0010-h_at,ketol-acid reductoisomerase,Synpcc7942_1552,Q31MY7,0.02301247,-0.18139168,-0.00660468,0.0133457,-0.01279199,0.01651107,-0.0936975,-0.34064177,0.08265627,0.11759096,0.04298363,0.20317911,0.84148186,0.0207,6,FALSE,-,-,-,-,-,-,-
syc0013-m_at,hypothetical protein,Synpcc7942_1555,Q31MY4,-0.24514722,-0.1354602,0.03860388,-0.01052379,0.14876882,0.20207224,-0.11611144,-0.1888649,0.12141867,-0.03219147,0.02134442,0.19311426,0.83572246,0.0227,6,FALSE,-,-,-,-,-,-,-
syc0014-m_at,Uncharacterized protein,Synpcc7942_1556,Q31MY3,-0.6100895,0.6670895,0.71927363,-0.11127284,-1.10562416,-0.99663212,-0.62661671,0.60012393,0.90459674,0.12203495,-1.14650236,-1.03389566,0.99045501,0.0000,1,TRUE,L/D,D,in,0.5,putative uncharacterized,putative uncharacterized,0
syc0015-h_at,group 2 RNA polymerase sigma factor,Synpcc7942_1557,Q31MY2,-0.29875404,0.96292461,0.2930957,-0.03770079,-1.56950282,-1.64221869,0.07255003,0.90486767,0.25359919,0.0911474,-1.30353172,-1.60879421,0.98718664,0.0000,1,TRUE,L,L,out,22.5,Transcription,0,"GO:0006350~transcription,GO:0006351~transcription, DNA-dependent,GO:0006352~transcription initiation,GO:0006355~regulation of transcription, DNA-dependent,GO:0006461~protein complex assembly,GO:0032774~RNA biosynthetic process,GO:0043933~macromolecular complex subunit organization,GO:0045449~regulation of transcription,GO:0051252~regulation of RNA metabolic process,GO:0065003~macromolecular complex assembly,GO:0070271~protein complex biogenesis,"
syc0017-m_at,hypothetical protein,Synpcc7942_1559,Q31MY0,-0.03330437,0.22038539,0.21747332,-0.01180999,-0.1688554,-0.31542107,-0.13573997,0.24292718,0.22839427,-0.010594,-0.38037819,-0.20171809,0.8886784,0.0082,1,FALSE,-,-,-,-,-,-,-
syc0023-m_at,hypothetical protein,Synpcc7942_1565,Q31MX4,0.28189013,-0.32699866,-0.25607394,0.01709162,0.11475597,0.25738431,0.09814644,-0.21363619,-0.26981065,-0.12175533,0.05188932,0.0528593,0.94868934,0.0010,2,FALSE,-,-,-,-,-,-,-
syc0029-m_at,dehydrogenase subunit-like protein,Synpcc7942_1572,Q31MW7,-1.51067581,0.9781229,0.98089792,-0.90564474,-1.83359965,-1.6815646,-1.43225512,1.13096938,1.21131438,-0.19927136,-1.33191029,-1.59265694,0.98084928,0.0001,1,FALSE,-,-,-,-,-,-,-
syc0030-m_at,3-oxoacyl-[acyl-carrier protein] reductase,Synpcc7942_1573,Q8KPV3,-0.92611521,0.86906893,0.95866779,-0.6657417,-1.65219321,-1.55654055,-0.79817266,1.00559106,0.95422146,-0.20921893,-1.58603844,-1.03422571,0.98365571,0.0000,1,FALSE,-,-,-,-,-,-,-
syc0031-m_at,probable glucosidase,Synpcc7942_1574,Q31MW5,-0.83164957,0.88252547,0.80203379,-1.02285331,-1.44188456,-1.6437271,-1.11286715,0.93029033,0.98438718,0.13211021,-1.42824448,-0.97135629,0.88569997,0.0088,1,FALSE,-,-,-,-,-,-,-
syc0032-m_at,MalQ (glycogen debranching enzyme-related protein),Synpcc7942_1575,Q8KPV1,-0.2478385,0.62634268,0.62277241,-0.42241466,-0.52896694,-0.89964731,-0.46534647,0.6236162,0.56394705,0.02466453,-1.27540649,-0.6215422,0.82500633,0.0266,1,FALSE,-,-,-,-,-,-,-
syc0033-m_at,putative channel transporter,Synpcc7942_1576,Q8KPV0,-0.48920423,0.21330268,0.48935358,-0.22510996,-0.67394605,-0.34299088,-0.28270425,0.46243976,0.71818596,-0.14495229,-0.45727735,-0.41909055,0.96949588,0.0002,1,FALSE,-,-,-,-,-,-,-
syc0034-h_at,arginyl-tRNA-synthetase,Synpcc7942_1577,Q8KPU9,0.1045606,-0.41455093,-0.16235934,0.01846296,0.16731383,0.15650305,0.04562338,-0.59139626,-0.37796486,0.0405626,0.22990377,0.32057952,0.97109094,0.0002,2,FALSE,-,-,-,-,-,-,-
syc0037-h_at,hypothetical protein,Synpcc7942_1580,Q31MV9,0.1052073,-0.30666173,0.18089493,0.05011236,-0.15915925,0.0383164,0.01806617,-0.55842626,0.15348798,-0.00065694,-0.62727183,0.36048135,0.84285934,0.0203,5,FALSE,-,-,-,-,-,-,-
syc0043-m_at,two-component sensor histidine kinase,Synpcc7942_1586,Q8KPT8,-0.10941201,0.31047504,0.06296134,-0.21408363,-0.09361373,-0.06413007,-0.02631853,0.3686192,-0.03821635,-0.24631122,-0.08912614,-0.09435814,0.94750845,0.0010,1,FALSE,-,-,-,-,-,-,-
syc0044-h_at,hypothetical protein,Synpcc7942_1587,Q8KPT7,0.09554116,0.33101025,-0.12573904,-0.0584031,-0.19729849,-0.17359892,0.15515532,0.31822443,-0.26950367,-0.13029853,-0.29058712,-0.14284923,0.95661778,0.0006,4,FALSE,-,-,-,-,-,-,-
syc0048-h_at,nucleic acid-binding protein  30S ribosomal protein S1-like,Synpcc7942_1591,O33698,-0.02681119,-0.47764329,0.04944769,0.03549627,0.10500524,0.07630907,-0.11587233,-0.34244189,0.10588919,0.10821022,0.25125459,0.15942467,0.9252694,0.0028,6,FALSE,-,-,-,-,-,-,-
