UniProt.ID	protein_LD6.5	protein_LD9.5	protein_LD11.5	protein_LD12.5	protein_LD14.5	protein_LD17.5	protein_LD21.5	protein_LD23.5	protein_LD24.5	protein_LD26.5	protein_LD30.5	protein_LD33.5	protein_LD35.5	protein_LD36.5	protein_LD38.5	protein_LD41.5	protein_LD45.5	protein_LD47.5	protein_LD48.5	protein_LD50.5	protein_mean.level	protein_max.level	protein_rhythm.pvalue	Ensemble.Genome.ID	Ensembl.Genome.Protein.ID	Transcript.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
O05161	0.951480736	0.933039436	0.987188301	0.900741142	1.146568484	1.112243817	1.053416217	1.003922066	1.038245363	1.325561861	1.020704431	0.913692374	0.791771746	0.765067934	0.770016444	1.044720219	1.254295892	1.334135683	1.326477843	1.223770556	1.04485302725	1.334135683	0.0213964270028566	Synpcc7942_2345	ABB58375	NA	112	24.83	26.88
O05347	1.011113712	1.483884164	0.888996395	0.824897524	0.985598423	1.048817681	1.01601472	1.176521858	1.017653663	0.958296716	1.00716355	1.405723807	1.188228596	1.089180858	1.230552083	0.966941055	0.840040065	1.00855596	0.927043258	1.043758439	1.05594912635	1.483884164	0.329052296451417	Synpcc7942_2105	ABB58135	NA	289	22.38	24.36
O06865	0.950823704	0.960063591	0.936698878	0.902194136	1.136056681	1.05535847	1.088428738	1.097235878	1.068070697	1.068070697	0.918755602	0.95191901	0.842752404	0.885727237	0.924485279	1.128236122	1.175168116	1.138675562	1.182769182	1.14182619	1.0276658087	1.182769182	0.00913214120323601	NA	NA	NA	486	21.56	24.11
O07345	0.865167108	0.984464364	0.906567196	0.960727008	1.171385921	1.012977969	1.099512067	1.147624999	1.037528416	0.801493491	0.860993752	0.9103324	0.85427953	0.949292391	0.945366046	1.127197456	1.051235455	1.059253725	1.028489826	0.923208937	0.98485490285	1.171385921	0.000526170452864761	Synpcc7942_2274	ABB58304	NA	677	21.15	22.58
O32463	0.971851703	0.954552897	0.935621084	0.960063591	1.130316325	1.057791322	1.024235914	1.045682885	1.000230285	0.983784555	0.944060876	1.028253035	0.861787122	1.050267677	1.032761406	1.081932085	1.035618977	1.044720219	1.038245363	1.005541502	1.00936594115	1.130316325	0.00744409739042533	Synpcc7942_2324	ABB58354	NA	323	22.7	24.86
O33698	0.952357486	0.951480736	0.979715547	0.850158693	0.988780744	1.045442136	1.085925421	1.033951101	1.022350939	1.297477992	0.899290488	0.905315592	0.880035112	0.824897524	0.848594085	1.034189204	1.178148406	1.198671005	1.193438379	1.320383231	1.02453019105	1.320383231	0.0299367979597647	NA	NA	NA	295	21.21	23.56
O33699	0.49226618	1.14709662	0.717629032	0.796892978	1.318256739	1.260085459	1.212550961	1.166003892	1.184404367	1.036096007	0.901363567	1.056087738	0.592515888	1.042797545	0.722603399	1.137889264	1.061451121	1.252564215	1.10407862	1.175709426	1.0189171509	1.318256739	0.0528791089700079	Synpcc7942_1592	ABB57622	syc0049-m_at	271	23.48	25.21
O33700	1.009950294	0.953235044	1.049542429	0.956092695	1.162251191	1.063898018	1.111475771	1.053173687	1.003228821	1.250546946	1.058766033	0.822432	0.665732869	1.135010816	0.962720013	1.011579454	1.213668276	1.098246935	1.291219274	1.437805035	1.06552878005	1.437805035	0.120835100654861	NA	NA	NA	157	21.91	23.25
O33701	0.957194071	0.924059636	0.977687359	0.910961452	1.190693547	1.079195187	1.113268703	1.073247783	1.01648272	1.096730699	0.94362622	1.010182871	0.978362955	0.957194071	1.001843766	1.138151303	1.068070697	1.088930093	0.998159627	0.947109079	1.02355759195	1.190693547	0.00166441415636319	Synpcc7942_2577	ABB58607	syc1547-m_at	307	20.75	22.75
O34125	0.904898774	0.949292391	0.921509889	0.797994687	1.173815932	1.080687181	1.058766033	1.017888013	1.070039969	1.345240705	0.983105215	0.868160456	0.704530826	0.719283338	0.728282711	1.017185124	1.240794901	1.276144932	1.248532926	1.38133813	1.02437460665	1.38133813	0.0243100532638065	Synpcc7942_2525	ABB58555	NA	240	21.98	23.89
