"Proteins identified in the 48h time-course experiment, using TMT 6-plex labeling: column headers show the Uniprot accession numbers of all proteins (Uniprot Accession); the names of the proteins as seen in Uniprot database (Protein name); the common gene names (gene names); gene names as seen in the Cyanobase (http://genome.microbedb.jp/cyanobase/) (Gene names (Synpcc7942 only); the number of spectrum to peptide matches of each protein for the whole 48h experiment (Total PSMs); the theoretical molecular weight (MW (kDa)); the abundance factor calculated by dividing the number of PSMs by the molecular weight (Abund factor); the relative abundance factor calculated by diving the abundance factor for the sum of all abundance factors (Rel abund); the total number of protein copies analyzed in one sample (Prot copy nrs), as calculated by multiplying the relative abundance factor for the amount of protein material used in the 48h experiment, dividing by the molecular weight and multiplying for the avogadro number; the number of protein copies analyzed in one cell, as calculated by dividing the protein copy numbers for the number of cells used in the 48h experiment (Prot copies/cell); the number of peptides per 12h experiment, one protein was identified with (Unique peptides); number of spectra per 12h experiment, one protein was identified with (Unique spectra); the percentage of which we were able to identify in a protein (Coverage(%)); the normalized protein ratio in a certain time-point X (X hours LD); the number of spectra used for the ratio calculation (Quant spectra); the variance between the ratios of the spectra used for quantification (Variance X hours LD); categorization of significant (TRUE) and non-significant (FALSE) proteins, as determined by the inter quartile range analysis (Significant); the cluster number corresponding to each significant protein (Cluster nr);categorization of cyclic (TRUE) and not-cyclic (FALSE) proteins, as determined by the Pearson correlation (Cyclic); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); and the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* significant (p<0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** very significant (p<0.01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniprot Accession,Protein name,Gene name,Gene Name (Synpcc7942 only),Total PSMs,MW (kDa),Abund factor,Rel abund ,Prot copy nrs,Prot copies/cell,Unique Peptides,Unique Spectra,Coverage (%),6.5 hours LD,Quant spectra,Variance 6.5 hours LD,9.5 hours LD,Quant spectra,Variance 9.5 hours LD,11.5 hours LD,Quant spectra,Variance 11.5 hours LD,12.5 hours LD,Quant spectra,Variance 12.5 hours LD,14.5 hours LD,Quant spectra,Variance 14.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),17.5 hours LD,Quant spectra,Variance 17.5 hours LD,21.5 hours LD,Quant spectra,Variance 21.5 hours LD,23.5 hours LD,Quant spectra,Variance 23.5 hours LD,24.5 hours LD,Quant spectra,Variance 24.5 hours LD,26.5 hours LD,Quant spectra,Variance 26.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),30.5 hours LD,Quant spectra,Variance 30.5 hours LD,33.5 hours LD,Quant spectra,Variance 33.5 hours LD,35.5 hours LD,Quant spectra,Variance 35.5 hours LD,36.5 hours LD,Quant spectra,Variance 36.5 hours LD,38.5 hours LD,Quant spectra,Variance 38.5 hours LD,Unique Peptides,Unique Spectra,Coverage (%),41.5 hours LD,Quant spectra,Variance 41.5 hours LD,45.5 hours LD,Quant spectra,Variance 45.5 hours LD,47.5 hours LD,Quant spectra,Variance 47.5 hours LD,48.5 hours LD,Quant spectra,Variance 48.5 hours LD,50.5 hours LD,Quant spectra,Variance 50.5 hours LD,Significant,Cluster nr,Cyclic,Pearson,p-value,Peak phase
Q31RN5,Putative uncharacterized protein,Synpcc7942_0252,Synpcc7942_0252,220,8.8,0.025082509,0.001820581,1.1996E+14,2.3670E+04,5,27,69.3,0.218876936,25,0.0276,0.212960962,25,0.0135,0.165234222,26,0.0209,0.366100229,27,0.0058,1.397333271,25,0.0004,6,135,73.3,2.13845443,118,0.0108,2.451884454,118,0.0134,2.193814992,118,0.004,0.790132635,118,0.0077,0.36458601,118,0.016,4,16,52,0.379577097,6,0.0165,0.400405468,7,0.0111,0.45888092,7,0.0007,0.470435406,8,0.0065,1.213947765,10,0.0009,3,42,50.7,1.482176762,24,0.0049,1.890601508,24,0.0088,2.519416678,24,0.0127,0.744903475,23,0.0032,0.595113771,23,0.0032,TRUE,2,TRUE,.937**,0.000,D
Q31QG0,"Transcriptional regulator, PadR family",Synpcc7942_0677,Synpcc7942_0677,119,15.0,0.007931469,0.000575695,2.2175E+13,4.3756E+03,6,12,49.2,0.225475833,12,0.0023,0.457825523,12,0.0037,0.392283463,12,0.003,0.461742659,12,0.0062,1.107388477,12,0.0007,10,61,81.7,1.325561861,58,0.0022,1.588181014,58,0.0031,1.61398688,58,0.002,1.487989957,58,0.0021,0.950385934,58,0.0004,2,12,16.7,0.353752893,12,0.0013,0.503268792,12,0.0037,0.456877741,12,0.0074,0.451024361,12,0.0006,0.750758054,12,0.0013,5,34,38.1,1.27379635,29,0.001,1.769701423,29,0.0027,1.823475783,29,0.0014,1.568555898,29,0.002,0.943191764,29,0.002,TRUE,2,TRUE,.962**,0.000,D
Q31PY4,Response regulator receiver domain protein,Synpcc7942_0855,Synpcc7942_0855,14,47.0,0.000297616,2.16021E-05,2.6539E+11,5.2368E+01,3,4,8.9,7.954263981,2,0.2774,2.237175219,2,0.0291,4.313204007,2,0.1905,2.593582099,2,0.1041,3.163005885,1,0.0291,3,4,15.1,0.878617805,3,0.002,0.980618314,3,0.0019,0.978588257,3,0.0019,0.923208937,3,0.0021,1.047369686,3,0.0033,1,3,5,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,2,3,6.5,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,FALSE,-,-,-,-,-
Q31KQ3,Putative uncharacterized protein,Synpcc7942_2336,Synpcc7942_2336,48,6.5,0.007389854,0.000536383,4.7724E+13,9.4170E+03,2,5,40.4,0.55284069,5,0.0036,0.51487286,5,0.0192,0.562729911,5,0.0097,0.774996962,5,0.007,1.780737892,5,0.0029,3,18,52.6,1.879749595,18,0.0053,1.77827941,18,0.0046,1.681124974,18,0.0052,0.58938625,18,0.0092,0.340251462,18,0.0473,2,11,38.6,0.772147021,9,0.0018,0.762605617,9,0.0012,0.61475207,7,0.0007,0.804451749,9,0.0012,1.155579955,12,0.0005,2,14,38.6,1.58416349,12,0.0061,1.596981922,12,0.0029,1.618825363,12,0.0028,0.62445335,11,0.0045,0.592106734,11,0.0045,TRUE,2,TRUE,.941**,0.000,D
Q31KI8,Heat shock protein Hsp20,Synpcc7942_2401,Synpcc7942_2401,202,18.4,0.010986258,0.000797423,2.5064E+13,4.9457E+03,9,29,55.2,0.340643417,22,0.0701,0.252115763,18,0.1101,0.250437869,21,0.1472,0.738754263,23,0.0032,1.370566145,23,0.0034,13,83,78.5,1.403459873,58,0.0025,1.630421899,58,0.0063,1.704904276,58,0.0049,1.534263665,58,0.0046,0.775353943,58,0.0028,9,32,46.6,0.463660394,31,0.0088,0.438732695,29,0.0245,0.413523314,26,0.0206,0.818653268,33,0.0034,1.244801205,33,0.0021,10,58,47.2,1.432847598,49,0.0034,1.568917113,50,0.0134,1.729019933,50,0.0091,1.298374568,50,0.0061,0.747308634,50,0.0061,TRUE,2,TRUE,.985**,0.000,D
Q31PT9,Putative uncharacterized protein,Synpcc7942_0900,Synpcc7942_0900,293,7.6,0.038773296,0.002814309,2.1523E+14,4.2470E+04,6,29,67.2,0.974092052,26,0.0006,0.227300295,25,0.0182,0.173700073,25,0.0278,0.519158537,26,0.0021,1.261537022,26,0.0003,5,50,64.2,1.483200967,50,0.001,1.876290156,50,0.0025,2.335608247,50,0.0024,0.526744488,50,0.0069,0.48028608,50,0.0094,6,65,73.1,0.18416199,50,0.008,0.162629752,50,0.0321,0.145747126,50,0.0469,0.276184944,50,0.0146,0.582371348,50,0.0024,6,149,73.1,1.35706297,122,0.0039,2.671160599,123,0.0115,3.176874071,122,0.0126,0.923846888,122,0.0024,0.413523314,115,0.0024,TRUE,2,TRUE,.897**,0.000,D
Q31PT4,Putative uncharacterized protein,Synpcc7942_0905,Synpcc7942_0905,18,18.3,0.000983811,7.14086E-05,2.2556E+12,4.4507E+02,1,1,6.1,1.122018454,1,0.0232,0.44822905,1,0.0305,0.532475954,1,0.0268,1.037050726,1,0.0226,0.625316661,1,0.0259,1,9,6.1,0.473587248,9,0.0005,0.887973489,9,0.0004,1.6943378,9,0.0003,2.584639636,9,0.0009,0.799834255,9,0.0004,1,4,6.1,1.649301295,4,0.0009,0.735359995,4,0.0026,0.494994074,4,0.003,0.71219677,4,0.0011,0.688652296,4,0.0049,1,4,6.1,0.739434994,4,0.0017,0.803711162,4,0.0016,0.727444727,4,0.0035,2.179716441,4,0.0012,1.166809617,4,0.0012,TRUE,3,TRUE,.747*,0.013,L
P38043,Nitrate transport protein NrtA,nrtA,Synpcc7942_1239,438,48.4,0.009050577,0.000656924,7.8449E+12,1.5480E+03,15,71,32.1,0.794877127,42,0.0815,2.579288964,52,0.0109,1.780737892,53,0.0047,1.109174815,53,0.001,0.477089655,44,0.094,23,129,49.7,1.334135683,76,0.0107,0.902401898,76,0.0035,0.733162089,76,0.0186,0.67982949,76,0.0231,0.547141932,76,0.0338,16,120,38.6,0.751449846,42,0.0067,1.019529978,41,0.0043,0.983558056,40,0.006,1,41,0.0043,1.16091387,41,0.0078,19,118,48.3,1.206424088,43,0.0114,0.944713236,43,0.0088,0.962941713,42,0.0114,0.938858192,43,0.0082,0.921722099,42,0.0082,FALSE,-,-,-,-,-
Q31S87,Putative uncharacterized protein,Synpcc7942_0050,Synpcc7942_0050,57,96.0,0.000593956,4.31115E-05,2.5962E+11,5.1229E+01,3,5,3.7,0.500495296,2,0.006,0.957634977,2,0.0233,0.706480209,2,0.0156,0.859409203,2,0.0166,1.903706532,2,0.0623,6,8,6.8,0.894746483,8,0.0057,1.092446053,8,0.0021,1.102300489,8,0.0049,1.020939484,8,0.0017,0.779830111,8,0.0071,8,25,8.8,0.841976558,8,0.0065,1.126159747,8,0.0019,0.942974611,8,0.0037,1.151860804,8,0.0042,1.088428738,8,0.0004,10,19,10.6,1.069301067,15,0.0123,0.89227762,15,0.009,0.886747556,16,0.0032,0.950385934,16,0.015,0.817334818,16,0.015,TRUE,6,FALSE,-,-,-
Q31RD3,Beta-glucosidase-related glycosidases-like,Synpcc7942_0354,Synpcc7942_0354,8,59.0,0.000135573,9.8404E-06,9.6375E+10,1.9017E+01,1,2,1.7,0.477749235,2,0.0327,1.267651866,2,0.0206,0.817523038,2,0.0225,0.745418213,2,0.0247,1.229985524,2,0.0203,2,2,3.7,0.891866805,2,0.0136,1.19371321,2,0.0127,1.100018528,2,0.0128,1.026597022,2,0.0138,0.912641052,2,0.0133,2,4,4.1,0.70307232,2,0.011,1.008788215,2,0.0024,0.813579506,2,0.0102,1.153718881,2,0.001,0.931322296,2,0.0045,0,0,0,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,-,0,Inf,FALSE,-,-,-,-,-
