Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
O05161	112	24.83	26.88
O05347	289	22.38	24.36
O06865	486	21.56	24.11
O06866	194	23.42	25.05
O07345	677	21.15	22.58
O32463	323	22.7	24.86
O33698	295	21.21	23.56
O33699	271	23.48	25.21
O33700	157	21.91	23.25
O33701	307	20.75	22.75
O34125	240	21.98	23.89
O34126	449	22.41	24.2
O34209	895	21.71	23.24
O50208	310	24.48	25.95
O50209	169	21.78	24.17
O68523	228	23.18	25.23
O68867	453	24.05	27.15
O85785	393	20.51	22.6
O85786	263	21.89	24.24
P04996	360	25.37	28.14
P04997	360	25.15	27.94
P06539	173	21.09	23.92
P0A2Z8	137	21.13	23.05
P0A3D2	99	20.93	23.86
P0A3F4	112	22.67	25.06
P0A4H0	439	23.35	26.58
P10340	170	22.96	25.94
P11004	461	25	27.88
P11005	352	26.22	29.09
P11472	277	21.64	24.53
P12243	107	22.64	25.09
P12608	356	21.47	23.07
P13530	163	21.92	25.17
P14788	344	22.98	24.7
P15347	342	25.04	28.21
P16891	354	23.38	25.36
P16954	774	25.66	27.48
P18655	201	24.15	27.05
P21577	471	22.61	25.13
P22879	544	21.08	23.47
P22880	103	20.87	23.87
P25935	111	21.08	23.97
P26294	474	23.82	26.1
P27134	272	23.02	24.82
P27366	350	22.5	24.78
P27367	278	25.43	29.01
P27368	81	23.29	25.4
P27369	206	22.97	24.42
P27370	286	23.65	27.04
P27477	320	23.14	25.62
P29283	222	23.57	26.08
P29686	511	23.68	25.53
P29801	521	23.48	27.28
P29820	145	22.58	24.53
P30008	624	23.29	25.22
P30331	56	21.15	23.3
P30340	122	22.16	23.95
P31094	508	25.14	27.72
P31160	147	21.35	23.67
P32084	114	23.16	25.09
P33171	409	22.22	24.28
P34185	883	22.32	24.04
P35086	134	22.35	24.11
P35087	59	24.14	25.49
P35088	191	21.38	23.76
P37269	308	24.25	25.95
P37278	926	22.17	24.55
P37279	747	22.17	24.46
P37371	70	21.58	22.98
P37372	208	24.76	27.3
P37385	790	21.95	24.17
P38023	399	22.53	24.23
P38043	443	23.11	25.76
P38044	279	24.83	28.38
P38045	659	22.64	24.65
P38046	274	22.71	24.44
P39458	729	23.21	25.09
P39660	450	23.33	25.88
P39661	512	22.82	24.75
P39663	257	22.99	25.08
P39664	413	22.52	24.15
P39665	337	22.28	25.14
