Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	default.pvalue
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	1423447_at	0.00296621253851067
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	1451548_at	9.83077580130306e-07
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	1419093_at	0.00334599615493444
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058;Q8C0L9-3;A2AMD6;A2AMD7;D6RHB5;D6RGT7;D6RHS8	1429144_at	0.00246434271852513
Carboxylesterase 1C	Ces1c	P23953;F6XTA4	1416913_at	0.0287470998073374
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3;Q9JKX3-2	1425381_a_at	0.0261642674920623
	Irf2bp2	E9Q1P8	1433634_at	0.016468255415839
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	1439617_s_at	6.23899449972829e-07
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	1433768_at	8.66781365011833e-07
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	1449321_x_at	0.0129545906644566
Apolipoprotein A-IV	Apoa4	P06728	1417761_at	0.0776931912527296
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8;E9Q2G2	1437689_x_at	0.170979617894488
Cold shock domain-containing protein E1	Csde1	Q91W50;Q80TP8	1423997_at	0.000169551710539993
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	P60521	1441376_at	0.193844473068765
Ganglioside GM2 activator	Gm2a	Q60648	1448241_at	0.41533005711364
Glycogenin-1	Gyg;Gyg1	D3Z5N4;Q9R062	1448429_at	0.000514890082355573
Heme-binding protein 1	Hebp1	E9QKH1;Q9R257	1418172_at	0.126516879395622
Apolipoprotein F	Apof	Q91V80	1418239_at	0.0317841669277289
V-type proton ATPase catalytic subunit A	Atp6v1a	P50516;P50516-2;D3Z1B9;D3YWH3;D3YZ23	1450634_at	0.00406634067238119
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	Q8VC19;D6RGR8	1424126_at	6.77726664473084e-07
TSC22 domain family protein 3	Tsc22d3	Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2	1420772_a_at	7.89123385841212e-07
Transferrin receptor protein 1	Tfrc	Q62351;Q8C872	1452661_at	7.93347316262272e-07
Interferon regulatory factor 5	Irf5	P56477;E9PWX5;E9Q5T2;F6Z6C6	1460231_at	0.00393574486512885
Molybdenum cofactor sulfurase	Mocos	Q14CH1	1429352_at	7.46187585881217e-07
Transportin-1	Tnpo1	Q8BFY9;Q8BFY9-2	1433585_at	5.82099477400195e-05
Tripeptidyl-peptidase 2	Tpp2	Q64514-2	1421894_a_at	1.05467695793022e-05
	Tsc22d2	E9Q7M2	1453012_at	8.31659540794185e-07
Phosphatidate phosphatase LPIN1	Lpin1	Q91ZP3;E9QKQ5;Q91ZP3-2	1418288_at	9.49831978169935e-07
Galectin-3-binding protein	Lgals3bp	Q07797;E9Q5X5	1448380_at	6.32263101868903e-07
Death-associated protein 1	Dap	Q91XC8	1423790_at	0.02843719586309
Alpha-1-antitrypsin 1-4	Serpina1d	Q00897	1449321_x_at	0.0129545906644566
T-complex protein 1 subunit theta	Cct8	P42932	1415785_a_at	0.00755447075730429
Molybdopterin synthase catalytic subunit	Mocs2	Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1	1424310_at	0.00442979582693864
Coxsackievirus and adenovirus receptor homolog	Cxadr	P97792;P97792-2;P97792-3	1452391_at	0.0188472129750456
Corticosteroid-binding globulin	Serpina6	Q06770;D3Z548	1448506_at	6.2357363203732e-07
Alpha-1-antitrypsin 1-2	Serpina1b	P22599	1449321_x_at	0.0129545906644566
Clathrin interactor 1	Clint1	Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2	1452152_at	0.00782697493150445
Serum albumin	Alb	P07724	1425260_at	0.494639865031575
Tyrosine aminotransferase	Tat	Q8QZR1;D3Z307	1451557_at	0.0266384659284066
Synaptosomal-associated protein 47	Snap47	Q8R570;Q8R570-2;B2FDF6;B2FDF7	1423745_at	0.207199164414651
	Akr1c14	Q91WT7	1418979_at	0.000380394098182834
Perilipin-2	Plin2	P43883;B1AXR5;B1AXR3	1448318_at	6.8995893948687e-07
Transmembrane 9 superfamily member 2	Tm9sf2	E9Q0K1;P58021;E9PZ69	1423295_at	0.0603444206867941
Collagen alpha-2(IV) chain;Canstatin	Col4a2	P08122;D3YV27	1424051_at	0.129951524619886
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	Q9EP75;G3UW81	1419559_at	0.144746124986047
ATP-citrate synthase	Acly	Q3V117;Q91V92;Q3TS02	1439459_x_at	0.0166113926473622
Kalirin	Kalrn	A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7;Q0KL02-2;E9QL39;D3Z4R2;A2CG49-5;D3Z559;D3Z560;D3Z535;D3Z532;A2CG49-6;E9QN03;D3Z534;A2CG49-4	1442554_s_at	0.00154391934891129
Protein S100-A9	S100a9	P31725	1448756_at	0.00119665900953429
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	Q7TMM9;Q9CWF2	1427838_at	7.83348783049224e-07
	Golgb1	E9PVZ8;E9QAH1;B7ZNF9;Q9CTU9;E9Q028	1435032_at	6.95505104376967e-07
Antithrombin-III	Serpinc1	P32261	1417909_at	0.518346028868148
Scaffold attachment factor B1	Safb	D3YXK2;E9PZM6	1454415_at	0.0396200438965124
Poly [ADP-ribose] polymerase 1	Parp1	Q921K2;P11103;P11103-2	1435368_a_at	0.311586748660724
Insulin-like growth factor-binding protein 7	Igfbp7	E9Q5D9;F8WH23;Q61581;F8WII5	1423585_at	0.15819297124321
	Gm20425	E9Q035;F7BAE9;F7CJN9;P47758;E9Q2Q7;E9Q939	1421012_at	0.0286755176321765
Apolipoprotein E	Apoe	P08226;G3UWN5;E9Q327;G3UZM8	1432466_a_at	0.283922717283759
Murinoglobulin-1	Mug1	P28665	1417835_at	0.00580174186151186
Fibroblast growth factor 1	Fgf1	P61148;D3Z6E2;D6RCX9;D3Z6H1;D3Z192	1423136_at	0.00476730860455005
Oxidoreductase HTATIP2	Htatip2	Q99KN6;Q9Z2G9;Q9Z2G9-2	1451814_a_at	0.0350708968106538
UBX domain-containing protein 7	Ubxn7	G5E8R8;Q6P5G6	1435912_at	0.103291126240379
40S ribosomal protein S6	Rps6;Rps6-ps1	P62754;D3Z6N6	1437246_x_at	6.20538138365779e-07
N-acetylglucosamine-6-sulfatase	Gns	Q8BFR4	1446861_at	0.000235117428569665
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	Q9CQV8;Q9CQV8-2;A2A5N1	1420879_a_at	0.00999890036466492
Histidine-rich glycoprotein	Hrg	Q9ESB3	1449242_s_at	0.51142115328143
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	Q60936;F7B1B6;Q60936-2;E0CXR1;E0CYC1;E0CXR6;E0CXT4;E0CZ05;E0CYG7;E0CYT4;E0CYD3;F6T0A8;E0CXI5	1417066_at	0.00171128925823183
Torsin-1A-interacting protein 2	Tor1aip2	Q8BYU6	1418115_s_at	2.95133811269323e-06
Alpha-mannosidase 2	Man2a1	P27046;F6QMB7;Q8BRK9;Q8BRK9-2;Q9WU23	1448647_at	6.80477270800647e-07
Apolipoprotein A-V	Apoa5	Q8C7G5	1417610_at	0.00323312063836738
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	P06797;E9Q6H1	1451310_a_at	0.0167764082415146
Inosine-5-monophosphate dehydrogenase 2	Impdh2	P24547	1415852_at	0.00430438658174518
Thioredoxin domain-containing protein 15	Txndc15	Q6P6J9	1428256_at	0.00545725122866751
Serotransferrin	Tf	Q921I1;D3YYR8;CON__Q0IIK2;CON__Q29443	1425546_a_at	0.547378903533093
Methionine adenosyltransferase 2 subunit beta	Mat2b	Q99LB6;Q99LB6-2;E0CYU5	1448196_at	9.39860651001293e-07
Alpha-2-HS-glycoprotein	Ahsg	P29699	1455093_a_at	0.0717436459088646
Transmembrane 9 superfamily member 1	Tm9sf1	Q9DBU0;D3Z6X7;D3YWH4;D6RGM8;D3Z279;D3YYW1	1418198_a_at	0.400042109279788
Retinol-binding protein 4	Rbp4	Q00724	1426225_at	0.786427238739457
Fatty acid desaturase 1	Fads1	Q920L1	1440444_at	0.0371440288960544
17-beta-hydroxysteroid dehydrogenase 13	Hsd17b13	A8Y5N5;A8Y5N6;Q8VCR2-2;Q8VCR2;A8Y5N4	1460606_at	0.152331736133059
	Ppp2r1a	G3UWL2	1438383_x_at	0.0305507804268879
60S ribosomal protein L18	Rpl18	P35980;G3UZK4;G3UZJ6;G3UX28;G3UYV6	1450372_a_at	0.000325428964207187
Carboxypeptidase N subunit 2	Cpn2	Q9DBB9	1427459_at	0.000440163415662522
Roquin	Rc3h1	Q4VGL6	1434933_at	0.0150848652451501
Serine/threonine-protein kinase Sgk2	Sgk2	Q9QZS5;E9Q4F0;Q9QZS5-2;Q9ERE3;E9PWP2	1418739_at	0.00190027007873068
Low affinity cationic amino acid transporter 2	Slc7a2	E9QJY0;E9Q6C4;P18581-2;E9QPL9;P18581	1450703_at	1.04085161368393e-06
Polymeric immunoglobulin receptor;Secretory component	Pigr	O70570;D3Z2D3;D3YVM4	1455490_at	0.00721643379391545
Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3	P01027;P01027-2	1423954_at	0.519702596781059
Apolipoprotein A-II	Apoa2	P09813;Q3UKX6	1417950_a_at	0.226547907031338
Lumican	Lum	P51885	1423607_at	0.00820874010016627
Acid sphingomyelinase-like phosphodiesterase 3a	Smpdl3a	P70158	1416635_at	0.012148335651703
Beta-lactamase-like protein 2	Lactb2	Q99KR3	1425140_at	0.0440816619493547
Vitamin D-binding protein	Gc	P21614	1426547_at	0.502821792195258
NADPH--cytochrome P450 reductase	Por	P37040;Q05DV1;E9Q997;E9PVT9;F6R7H8	1416933_at	7.92214880671046e-07
NADPH:adrenodoxin oxidoreductase, mitochondrial	Fdxr	Q61578	1416806_at	0.189608335448983
Beta-2-glycoprotein 1	Apoh	Q01339	1416677_at	0.296641069644142
Apolipoprotein A-I;Truncated apolipoprotein A-I	Apoa1	Q8BPD5;Q00623;CON__P15497	1438840_x_at	0.29259964271812
Liprin-beta-1	Ppfibp1	Q8C8U0-3;Q8C8U0;Q8C8U0-2;F7CUU8;F6S1C4	1452759_s_at	0.00209079082524254
GTP-binding protein SAR1b	Sar1b	Q9CQC9	1428163_at	0.0209230375902804
DnaJ homolog subfamily A member 1	Dnaja1	P63037;B1AXY1;B1AXY0;B1AXX9	1416288_at	6.69691934724684e-07
GMP synthase [glutamine-hydrolyzing]	Gmps	Q3THK7	1433567_at	0.000586864082185505
Beta-hexosaminidase subunit alpha	Hexa	P29416;E9PW67	1449024_a_at	0.0410398415361841
Signal transducer and transcription activator 6	Stat6	P52633	1421708_a_at	0.387402673449216
	Sorbs2	Q3UTJ2-2;D3Z080;Q3UTJ2-5;B2RXQ9;F7BEU1;F6V513	1437197_at	6.92477320170061e-07
Epsin-1	Epn1	Q80VP1-2;Q80VP1;D3Z4V3;D3Z550	1427039_at	0.846769129800906
Small nuclear ribonucleoprotein Sm D3	Snrpd3	P62320	1422885_at	0.0699666687870057
