Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	24	32	28	30	21	27	25	22	28	20	21	25	29	23	21	22	24.875	32	4.33e-09	634	21.77	23.88
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	6	0	2	3	7	3	5	2	2	0	5	1	4	3	4	2	3.0625	7	3.19e-07	320	23.57	26.04
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	11	16	19	18	12	15	19	15	16	12	19	14	17	14	16	11	15.25	19	1.04e-06	406	25.25	27.64
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058	5	7	4	9	4	8	7	5	2	5	4	4	4	7	5	6	5.375	9	3.2e-06	675	24.01	26.3
Carboxylesterase 1C	Ces1c	P23953	29	32	27	35	28	29	32	29	31	20	29	24	35	26	32	33	29.4375	35	6.46e-06	554	23.64	26.02
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3	5	4	4	5	5	5	6	5	5	2	11	3	6	2	7	5	5	11	6.39e-06	798	23.41	25.48
	Irf2bp2	E9Q1P8	0	2	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1.25	2	1.84e-05	570	20.44	21.39
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	63	68	80	79	62	91	76	76	76	64	75	60	84	58	77	83	73.25	91	1.3e-05	622	24.2	26.22
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	5	9	9	7	6	8	9	7	6	7	8	6	10	5	9	9	7.5	10	2.49e-05	1408	21.37	22.6
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	19	18	17	18	21	19	20	19	14	15	31	17	20	19	21	21	19.3125	31	3.62e-05	412	23.44	26.08
Apolipoprotein A-IV	Apoa4	P06728	24	24	37	27	17	29	23	29	34	30	28	20	31	26	31	22	27	37	5.49e-05	395	21.98	23.6
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8	9	10	15	10	9	9	11	8	10	5	9	5	10	8	7	11	9.125	15	5.94e-05	448	23.46	25.36
Cold shock domain-containing protein E1	Csde1	Q91W50;Q80TP8	14	13	13	10	9	9	12	7	9	9	8	9	8	11	7	4	9.5	14	4.91e-05	798	22.89	25.1
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	P60521	4	4	1	3	3	3	6	4	1	1	2	2	3	1	2	2	2.625	6	8.31e-05	117	25.65	28.15
Ganglioside GM2 activator	Gm2a	Q60648	0	2	4	5	1	3	2	3	3	2	4	4	3	3	5	4	3	5	0.000128128	193	22.99	25.46
