Protein.Name	Gene.Name	Uniprot.ID	ZT0	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	24	32	28	30	21	27	25	22	28	20	21	25	29	23	21	22
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	6	0	2	3	7	3	5	2	2	0	5	1	4	3	4	2
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	11	16	19	18	12	15	19	15	16	12	19	14	17	14	16	11
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058	5	7	4	9	4	8	7	5	2	5	4	4	4	7	5	6
Carboxylesterase 1C	Ces1c	P23953	29	32	27	35	28	29	32	29	31	20	29	24	35	26	32	33
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3	5	4	4	5	5	5	6	5	5	2	11	3	6	2	7	5
	Irf2bp2	E9Q1P8	0	2	1	2	1	2	1	1	1	1	1	2	1	2	1	1
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	63	68	80	79	62	91	76	76	76	64	75	60	84	58	77	83
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	5	9	9	7	6	8	9	7	6	7	8	6	10	5	9	9
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	19	18	17	18	21	19	20	19	14	15	31	17	20	19	21	21
Apolipoprotein A-IV	Apoa4	P06728	24	24	37	27	17	29	23	29	34	30	28	20	31	26	31	22
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8	9	10	15	10	9	9	11	8	10	5	9	5	10	8	7	11
Cold shock domain-containing protein E1	Csde1	Q91W50;Q80TP8	14	13	13	10	9	9	12	7	9	9	8	9	8	11	7	4
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	P60521	4	4	1	3	3	3	6	4	1	1	2	2	3	1	2	2
Ganglioside GM2 activator	Gm2a	Q60648	0	2	4	5	1	3	2	3	3	2	4	4	3	3	5	4
Glycogenin-1	Gyg;Gyg1	D3Z5N4;Q9R062	4	1	3	7	7	7	7	2	3	2	7	3	6	4	3	3
Heme-binding protein 1	Hebp1	E9QKH1;Q9R257	15	17	17	14	16	16	18	12	12	9	16	8	20	6	15	18
Apolipoprotein F	Apof	Q91V80	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1
V-type proton ATPase catalytic subunit A	Atp6v1a	P50516;P50516-2	16	14	19	15	12	10	16	15	18	10	16	14	16	12	15	18
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	Q8VC19	2	7	6	5	6	10	10	6	5	4	6	4	7	7	6	9
TSC22 domain family protein 3	Tsc22d3	Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2	1	0	1	1	1	1	2	1	0	1	1	1	1	1	1	1
Transferrin receptor protein 1	Tfrc	Q62351	3	2	6	3	3	1	2	2	5	2	4	1	3	4	2	2
Interferon regulatory factor 5	Irf5	P56477;E9PWX5;E9Q5T2	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0
Molybdenum cofactor sulfurase	Mocos	Q14CH1	12	13	11	13	12	10	15	10	13	7	13	11	12	10	13	14
Transportin-1	Tnpo1	Q8BFY9;Q8BFY9-2	4	6	4	6	6	3	6	5	5	5	6	3	3	4	4	6
Tripeptidyl-peptidase 2	Tpp2	Q64514	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
	Tsc22d2	E9Q7M2	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1
Phosphatidate phosphatase LPIN1	Lpin1	Q91ZP3;E9QKQ5;Q91ZP3-2	2	0	3	3	1	5	2	4	2	2	1	3	3	4	4	0
Galectin-3-binding protein	Lgals3bp	Q07797	4	4	4	6	3	4	6	5	4	2	6	2	6	3	6	5
Death-associated protein 1	Dap	Q91XC8	11	13	20	13	14	21	13	17	14	16	15	10	12	14	14	9
Alpha-1-antitrypsin 1-4	Serpina1d	Q00897	28	36	45	39	25	44	43	35	44	42	45	32	47	38	42	49
T-complex protein 1 subunit theta	Cct8	P42932	38	35	43	36	34	32	32	34	37	27	32	31	33	32	33	32
Molybdopterin synthase catalytic subunit	Mocs2	Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1	3	3	2	2	1	2	3	3	3	2	2	2	3	0	2	2
Coxsackievirus and adenovirus receptor homolog	Cxadr	P97792;P97792-2	3	3	3	2	2	1	2	5	6	1	3	1	5	1	2	2
Corticosteroid-binding globulin	Serpina6	Q06770	5	6	15	6	8	7	11	7	11	8	13	5	12	6	12	6
Alpha-1-antitrypsin 1-2	Serpina1b	P22599	18	18	23	23	14	18	24	22	19	21	18	19	20	21	20	23
Clathrin interactor 1	Clint1	Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2	14	16	20	26	15	20	17	20	22	16	16	20	22	22	19	17
Serum albumin	Alb	P07724	218	277	303	303	169	335	263	299	297	305	276	360	278	384	301	347
Tyrosine aminotransferase	Tat	Q8QZR1	4	4	7	6	5	10	8	6	6	4	6	6	8	8	6	6
Synaptosomal-associated protein 47	Snap47	Q8R570;Q8R570-2;B2FDF6	5	2	6	6	3	2	4	5	4	4	8	3	7	3	3	6
	Akr1c14	Q91WT7	37	45	42	49	38	45	40	41	44	44	46	38	49	43	44	50
Perilipin-2	Plin2	P43883;B1AXR5	10	18	15	14	8	11	10	11	12	13	18	10	17	8	12	16
Transmembrane 9 superfamily member 2	Tm9sf2	E9Q0K1;P58021	4	3	7	5	4	4	5	6	5	3	4	2	2	3	2	1
Collagen alpha-2(IV) chain;Canstatin	Col4a2	P08122	3	3	4	3	2	2	3	4	4	2	3	3	4	1	2	1
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	Q9EP75	4	1	10	5	8	1	3	10	10	3	9	2	2	3	1	2
ATP-citrate synthase	Acly	Q3V117;Q91V92	92	121	119	128	84	107	102	111	126	106	135	105	104	110	103	115
Kalirin	Kalrn	A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7	0	0	1	1	1	1	1	0	1	0	1	1	1	0	2	2
