Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
A0A5N5SGQ2	379	24.32	26.57	5254146
A0A5N5SGQ6	284	25.19	28.61	5254146
A0A5N5SGQ7	272	21.79	23.25	5254146
A0A5N5SGR6	475	24.61	27.69	5254146
A0A5N5SGU6	182	25.01	27.63	5254146
A0A5N5SGU8	404	22.7	23.24	5254146
A0A5N5SGV1	257	24.7	26.91	5254146
A0A5N5SGV2	378	23.8	26.42	5254146
A0A5N5SGW8	175	22.41	23.65	5254146
A0A5N5SGW9	83	26.26	29.31	5254146
A0A5N5SGX1	120	24.94	27.97	5254146
A0A5N5SGX3	37	24.34	26.99	5254146
A0A5N5SGY7	240	22.3	24.17	5254146
A0A5N5SGY8	421	21.99	23.78	5254146
A0A5N5SGZ1	225	24.77	27.86	5254146
A0A5N5SGZ4	131	25.7	28.74	5254146
A0A5N5SH09	420	22.7	25.53	5254146
A0A5N5SH10	13	26.73	29.58	5254146
A0A5N5SH14	263	25.86	28.35	5254146
A0A5N5SH36	405	25.05	28.21	5254146
A0A5N5SH37	431	21.82	23.28	5254146
A0A5N5SH38	124	26.09	29.74	5254146
A0A5N5SH42	144	22.55	25.03	5254146
A0A5N5SH59	498	27.65	31.23	5254146
A0A5N5SH60	443	23.16	25.43	5254146
A0A5N5SH62	574	22.31	23.81	5254146
A0A5N5SH63	325	24.36	25.93	5254146
A0A5N5SH77	319	20.87	22.66	5254146
A0A5N5SH79	163	24.67	27.34	5254146
A0A5N5SH80	290	26.21	29.72	5254146
A0A5N5SH83	128	25.66	28.38	5254146
A0A5N5SH94	680	24.06	25.61	5254146
A0A5N5SH95	430	25.6	28.03	5254146
A0A5N5SHA0	70	25.56	27.24	5254146
A0A5N5SHA2	175	21.22	23.43	5254146
A0A5N5SHA6	491	23.53	25.97	5254146
A0A5N5SHB2	264	22.9	25.73	5254146
A0A5N5SHB4	234	21.85	24.2	5254146
A0A5N5SHB5	244	23.22	25.95	5254146
A0A5N5SHB6	336	24.85	27.55	5254146
A0A5N5SHC0	107	22.35	25.21	5254146
A0A5N5SHD1	81	22.62	24.72	5254146
A0A5N5SHD4	119	23.73	25.5	5254146
A0A5N5SHD5	1504	20.81	22.6	5254146
A0A5N5SHD7	434	23.48	26.12	5254146
A0A5N5SHF2	130	18.4	18.57	5254146
A0A5N5SHF4	381	25.5	28.19	5254146
A0A5N5SHF8	512	26.59	29.56	5254146
A0A5N5SHF9	218	24.27	26.85	5254146
A0A5N5SHG1	110	25.14	26.71	5254146
A0A5N5SHG4	697	24.92	28.06	5254146
A0A5N5SHH0	109	25.4	29.52	5254146
A0A5N5SHH1	156	27.4	31.29	5254146
A0A5N5SHH7	230	22.46	24.48	5254146
A0A5N5SHH9	110	27.27	31.68	5254146
A0A5N5SHI1	108	22.24	24.69	5254146
A0A5N5SHI5	185	24.6	27.24	5254146
A0A5N5SHJ0	172	25.06	28.32	5254146
A0A5N5SHJ1	395	24.95	27.65	5254146
A0A5N5SHJ5	649	24.39	27.77	5254146
A0A5N5SHJ7	811	23.97	26.43	5254146
A0A5N5SHK2	208	22.22	24.61	5254146
A0A5N5SHK7	117	23.1	24.99	5254146
A0A5N5SHL0	54	23.78	26.68	5254146
A0A5N5SHL3	226	24.09	26.91	5254146
A0A5N5SHL4	258	25.89	28.7	5254146
A0A5N5SHL5	590	22.41	24.04	5254146
A0A5N5SHM0	202	25.49	28.6	5254146
A0A5N5SHM1	167	22.22	23.85	5254146
A0A5N5SHM6	122	25.8	28.28	5254146
A0A5N5SHM8	72	21.29	23.06	5254146
A0A5N5SHN1	92	27.11	28.98	5254146
A0A5N5SHN2	120	25.1	26.77	5254146
A0A5N5SHN3	222	24.68	26.65	5254146
A0A5N5SHN8	192	22.95	24.39	5254146
A0A5N5SHP3	301	23.99	26.54	5254146
A0A5N5SHP6	357	25.08	27.26	5254146
A0A5N5SHP7	499	25.88	29.25	5254146
A0A5N5SHQ0	195	20.69	22.49	5254146
A0A5N5SHQ1	320	23.71	26.58	5254146
A0A5N5SHQ6	256	24.71	26.92	5254146
A0A5N5SHR1	1166	24.31	26.71	5254146
A0A5N5SHR2	592	24.2	26.84	5254146
A0A5N5SHR5	346	25.8	28.46	5254146
A0A5N5SHR8	353	23.85	26.81	5254146
A0A5N5SHR9	183	23.5	25.57	5254146
A0A5N5SHS5	628	26.06	29.49	5254146
A0A5N5SHS9	260	24.07	26.61	5254146
A0A5N5SHT0	220	24.92	27.51	5254146
A0A5N5SHT5	75	26.75	30.05	5254146
A0A5N5SHT6	76	24.45	27.05	5254146
A0A5N5SHT7	677	21.41	22.18	5254146
A0A5N5SHU1	104	24.55	27.86	5254146
A0A5N5SHU7	188	25.11	27.98	5254146
A0A5N5SHU8	149	22.17	24.99	5254146
A0A5N5SHV2	172	23.47	26.56	5254146
A0A5N5SHV4	114	23.46	25.58	5254146
A0A5N5SHV5	114	24.12	26.96	5254146
A0A5N5SHV8	564	24.38	26.83	5254146
A0A5N5SHW1	920	23.95	26.45	5254146
A0A5N5SHW5	221	23.77	26.17	5254146
A0A5N5SHW8	488	25.99	29.55	5254146
A0A5N5SHW9	390	23.13	25.58	5254146
A0A5N5SHX2	113	24.15	27.23	5254146
A0A5N5SHX6	457	23.74	26.1	5254146
A0A5N5SHX8	98	24.66	26.81	5254146
A0A5N5SHY0	201	23.25	24.73	5254146
A0A5N5SHY4	80	24.12	26.21	5254146
A0A5N5SHY7	562	24.2	26.77	5254146
A0A5N5SHY8	239	25.42	28.09	5254146
A0A5N5SHZ3	192	24.65	27.54	5254146
A0A5N5SHZ5	278	24.71	27.79	5254146
A0A5N5SHZ9	586	24.2	26.9	5254146
A0A5N5SI00	61	24.49	27.04	5254146
A0A5N5SI03	548	23.97	26.62	5254146
A0A5N5SI06	326	21.17	22.63	5254146
A0A5N5SI12	158	21	23.47	5254146
A0A5N5SI14	108	25.25	28.2	5254146
A0A5N5SI19	111	27.8	30.8	5254146
A0A5N5SI21	472	24.19	27.3	5254146
A0A5N5SI24	798	23.94	25.77	5254146
A0A5N5SI27	242	23.76	26.38	5254146
A0A5N5SI30	299	23.77	26.34	5254146
A0A5N5SI33	1404	22.28	24.77	5254146
A0A5N5SI35	239	23.27	25.59	5254146
A0A5N5SI36	683	23.71	25.73	5254146
A0A5N5SI39	117	26.4	28.74	5254146
A0A5N5SI43	723	23.62	25.43	5254146
A0A5N5SI44	249	22.57	24.57	5254146
A0A5N5SI48	102	25.43	29.04	5254146
A0A5N5SI49	565	25.77	28.37	5254146
A0A5N5SI50	572	23.05	25.05	5254146
A0A5N5SI52	675	23.42	25.78	5254146
A0A5N5SI55	350	25.58	28.43	5254146
A0A5N5SI57	284	24.18	26.82	5254146
A0A5N5SI58	159	27.45	31.01	5254146
A0A5N5SI62	254	25.5	28.18	5254146
A0A5N5SI65	88	27.44	29.92	5254146
A0A5N5SI66	394	22.98	25.16	5254146
A0A5N5SI70	405	22.42	24.84	5254146
A0A5N5SI71	450	24.8	26.83	5254146
A0A5N5SI72	203	24.03	26.24	5254146
A0A5N5SI74	955	24.72	27.27	5254146
A0A5N5SI77	179	24.17	25.71	5254146
A0A5N5SI80	194	24.06	26.43	5254146
A0A5N5SI81	291	26.08	29.15	5254146
A0A5N5SI84	210	24.07	25.69	5254146
A0A5N5SI86	146	26.56	29.25	5254146
A0A5N5SI88	1566	22.54	24.57	5254146
A0A5N5SI89	540	23.03	24.81	5254146
A0A5N5SI92	427	21.88	24.33	5254146
A0A5N5SI94	809	21.35	23.41	5254146
A0A5N5SI96	468	23.67	25.54	5254146
A0A5N5SIA1	266	25.52	27.15	5254146
