Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
B0VYY7	77	21.47	22.95	8207082
B0VYY8	674	23.42	25.66	8207082
B0VYY9	488	24.38	26.6	8207082
B0VYZ0	201	25.49	28.35	8207082
B0VYZ1	555	20.67	22.25	8207082
B0VYZ2	303	22.08	22.83	8207082
B0VYZ3	820	24.13	26.64	8207082
B0VYZ4	513	23.06	25.72	8207082
B0VYZ5	147	22.23	24.11	8207082
B0VYZ6	223	22.99	25.11	8207082
B0VYZ7	410	24.53	26.88	8207082
B0VYZ8	289	22.96	24.6	8207082
B0VYZ9	251	23.03	25.15	8207082
B0VZ01	813	24.59	26.61	8207082
B0VZ02	431	23.14	23.52	8207082
B0VZ03	367	24.06	26.64	8207082
B0VZ04	356	23.47	25.56	8207082
B0VZ05	96	21.5	23.88	8207082
B0VZ06	338	22.74	24.6	8207082
B0VZ07	35	24.74	27.33	8207082
B0VZ08	199	23.65	25.39	8207082
B0VZ09	361	22.68	24.85	8207082
B0VZ10	1585	22.56	24.69	8207082
B0VZ11	216	23.05	24.72	8207082
B0VZ12	188	21.74	24.47	8207082
B0VZ13	548	24.8	27.32	8207082
B0VZ14	126	22.6	24.77	8207082
B0VZ15	228	19.38	21.91	8207082
B0VZ16	189	23.24	25.15	8207082
B0VZ17	577	24.7	27.08	8207082
B0VZ18	309	24.96	27.36	8207082
B0VZ19	212	24.54	27.09	8207082
B0VZ20	560	24.5	27.08	8207082
B0VZ21	571	24.67	27.08	8207082
B0VZ22	573	24.99	27.39	8207082
B0VZ23	158	23.48	25.47	8207082
B0VZ24	186	24.91	26.41	8207082
B0VZ26	258	21.22	23.71	8207082
B0VZ27	306	21.88	23.64	8207082
B0VZ28	512	21.61	23.25	8207082
B0VZ29	471	23.35	25.8	8207082
B0VZ30	641	23.1	25.3	8207082
B0VZ31	429	20.38	22.28	8207082
B0VZ32	516	22.68	25.22	8207082
B0VZ33	481	23.52	26.91	8207082
B0VZ34	514	23.76	26.28	8207082
B0VZ35	441	24.43	26.9	8207082
B0VZ36	1196	24.49	27.27	8207082
B0VZ37	562	24.39	26.82	8207082
B0VZ38	749	24.28	26.5	8207082
B0VZ39	228	26.19	28.73	8207082
B0VZ40	229	22.53	24.58	8207082
B0VZ41	648	28.66	32.67	8207082
