Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
MCINX001822-PA	139	21.97	24.87	5312437
MCINX014622-PA	320	24.2	26.72	5312437
MCINX009527-PA	701	23.64	26.52	5312437
MCINX001838-PA	152	25.88	29.23	5312437
MCINX004659-PA	616	24.09	26.85	5312437
MCINX012759-PA	166	24.35	26.56	5312437
MCINX011692-PA	212	21.38	22.66	5312437
MCINX001085-PA	140	23.17	25.44	5312437
MCINX000344-PA	150	23.97	26.33	5312437
MCINX015089-PA	583	21.4	21.92	5312437
MCINX001375-PA	825	22.89	25.07	5312437
MCINX007947-PA	213	24.69	27.73	5312437
MCINX006312-PA	654	22.68	25.27	5312437
MCINX007244-PA	109	24.23	26.68	5312437
MCINX011275-PA	114	23.52	25.86	5312437
MCINX010136-PA	89	25.22	27.73	5312437
MCINX014504-PA	572	23.62	25.89	5312437
MCINX012743-PA	82	21.58	23.88	5312437
MCINX011877-PA	78	23.78	26.43	5312437
MCINX016604-PA	91	24.67	27.53	5312437
MCINX002590-PA	304	24.24	26.68	5312437
MCINX010437-PA	127	22.24	23.33	5312437
MCINX014296-PA	102	24.25	25.83	5312437
MCINX009655-PA	281	26.56	29.75	5312437
MCINX004439-PA	419	25.63	27.8	5312437
MCINX002734-PA	86	24.13	26.1	5312437
MCINX002192-PA	224	25.25	28.16	5312437
MCINX012645-PA	365	22.84	25.09	5312437
MCINX007643-PA	174	21.78	23.94	5312437
MCINX015737-PA	592	22.14	24.05	5312437
MCINX012087-PA	135	23.72	25.76	5312437
MCINX010084-PA	170	24.06	26.65	5312437
MCINX001559-PA	105	23.1	24.52	5312437
MCINX012669-PA	120	23.87	26.9	5312437
MCINX003925-PA	251	22.34	24.07	5312437
MCINX003887-PA	79	25.26	26.63	5312437
MCINX002198-PA	310	25.53	28.58	5312437
MCINX002694-PA	529	23.23	25.9	5312437
MCINX006887-PA	103	20.76	21.54	5312437
MCINX003169-PA	465	24.29	27.36	5312437
MCINX005090-PA	107	24.93	27.69	5312437
MCINX015134-PA	72	23.9	25.38	5312437
MCINX014708-PA	439	24	26.55	5312437
MCINX005072-PA	207	24.34	26.39	5312437
MCINX006408-PA	151	24.38	27.18	5312437
MCINX006567-PA	1240	25.4	28.2	5312437
MCINX013000-PA	363	22.09	23.41	5312437
MCINX009730-PA	113	27.31	30.38	5312437
MCINX010181-PA	688	22.54	24.71	5312437
MCINX012563-PA	221	22.68	24.79	5312437
MCINX015257-PA	100	23.62	26.86	5312437
MCINX008657-PA	428	25.32	29.04	5312437
MCINX016532-PA	828	23.24	25.81	5312437
MCINX003712-PA	227	23.25	24.37	5312437
MCINX004101-PA	262	24.4	27.69	5312437
MCINX011002-PA	442	22.92	25.5	5312437
MCINX010875-PA	429	22.89	24.87	5312437
MCINX007328-PA	506	22.28	23.91	5312437
MCINX004161-PA	501	25.75	28.92	5312437
MCINX000341-PA	648	22.99	25.09	5312437
MCINX003946-PA	217	23.64	25.04	5312437
MCINX013181-PA	103	22.53	24.43	5312437
MCINX008072-PA	546	23.33	25.58	5312437
MCINX012303-PA	1313	23.77	26.38	5312437
MCINX001319-PA	88	24.26	26.41	5312437
MCINX014995-PA	64	22.51	25.16	5312437
MCINX016633-PA	425	22.32	24.39	5312437
MCINX006025-PA	714	21.94	23.51	5312437
MCINX009186-PA	85	24.21	25.04	5312437
MCINX006801-PA	228	23.89	26.72	5312437
MCINX006191-PA	81	24.45	25.59	5312437
MCINX006186-PA	98	24.05	27.3	5312437
MCINX010784-PA	330	23.67	25.88	5312437
MCINX010420-PA	281	21.27	22.71	5312437
MCINX016352-PA	519	24.29	27.08	5312437
MCINX003917-PA	264	24.6	26.56	5312437
MCINX011206-PA	341	21.44	24.14	5312437
MCINX003708-PA	233	23.18	24.82	5312437
MCINX007486-PA	184	19.93	20.68	5312437
MCINX006880-PA	352	23.82	25.7	5312437
MCINX015496-PA	682	22.84	24.3	5312437
MCINX014158-PA	199	23.68	25.7	5312437
MCINX000526-PA	658	22.72	24.36	5312437
MCINX005384-PA	85	24.62	27.72	5312437
MCINX011221-PA	60	28.27	32.3	5312437
MCINX013835-PA	330	24.21	27.23	5312437
MCINX010348-PA	295	23.71	26.04	5312437
MCINX013511-PA	315	23.97	26	5312437
MCINX011414-PA	368	22.22	23.28	5312437
MCINX016111-PA	748	22.42	24.42	5312437
MCINX013358-PA	74	26.23	29.43	5312437
MCINX010435-PA	371	22.92	24.68	5312437
MCINX008233-PA	216	25.22	28.12	5312437
MCINX006905-PA	93	28.63	32.33	5312437
MCINX008691-PA	512	24.47	26.7	5312437
MCINX009724-PA	735	24.31	26.45	5312437
MCINX014985-PA	249	24.19	26.96	5312437
MCINX014962-PA	694	21.8	23.26	5312437
MCINX013955-PA	75	27.04	29.71	5312437
MCINX000539-PA	297	22.79	24.91	5312437
MCINX001345-PA	80	20.73	22.86	5312437
MCINX006729-PA	307	20.69	22.71	5312437
MCINX008455-PA	505	23.72	25.89	5312437
MCINX005990-PA	80	23.21	25.64	5312437
MCINX004961-PA	78	23.48	25.78	5312437
MCINX009001-PA	158	24.91	27.58	5312437
MCINX007766-PA	411	23.94	26.67	5312437
MCINX004456-PA	160	23.12	25.98	5312437
MCINX001984-PA	228	23.82	25.39	5312437
MCINX011282-PA	252	24.53	27.32	5312437
MCINX002977-PA	133	24.31	26.92	5312437
MCINX001220-PA	323	23.67	25.76	5312437
MCINX009061-PA	71	27.22	31.67	5312437
MCINX003305-PA	233	23.75	24.25	5312437
MCINX013632-PA	141	24.66	27.71	5312437
MCINX006922-PA	113	24.59	27.54	5312437
MCINX004113-PA	287	24.36	26.6	5312437
MCINX007189-PA	1250	24.51	26.63	5312437
MCINX008626-PA	255	23.98	26.95	5312437
MCINX011731-PA	165	23.19	25.74	5312437
MCINX011838-PA	144	25.55	27.33	5312437
MCINX015434-PA	604	21.59	23.31	5312437
MCINX002997-PA	176	25.51	28.1	5312437
MCINX014269-PA	321	25.19	28.33	5312437
MCINX006917-PA	280	28.07	31.05	5312437
MCINX006850-PA	199	24.34	26.41	5312437
MCINX000742-PA	149	25.56	28.26	5312437
MCINX010516-PA	407	23.2	25.58	5312437
MCINX001309-PA	158	21.65	23.7	5312437
MCINX005853-PA	92	22.53	24.64	5312437
MCINX015131-PA	194	23.83	26.31	5312437
MCINX002840-PA	276	27.26	30.43	5312437
MCINX013928-PA	284	24.07	27.18	5312437
MCINX009853-PA	153	24.71	27.08	5312437
MCINX004420-PA	369	23.26	24.29	5312437
MCINX008369-PA	94	23.13	24.9	5312437
MCINX011347-PA	357	21.97	23.26	5312437
MCINX010535-PA	449	25.25	27.24	5312437
MCINX010988-PA	309	27.84	31.49	5312437
MCINX001076-PA	123	24.62	27.92	5312437
MCINX013950-PA	74	24.68	27.06	5312437
MCINX008003-PA	554	25.41	28.56	5312437
MCINX014947-PA	100	25.86	29.45	5312437
MCINX003466-PA	403	25.95	29.07	5312437
MCINX001006-PA	206	25.72	28.87	5312437
MCINX001077-PA	335	23.85	25.64	5312437
MCINX015229-PA	1206	22.72	24.28	5312437
MCINX005257-PA	289	22.96	25.33	5312437
MCINX012831-PA	248	23.16	25.86	5312437
