Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
KAF1570151	807	23.31	25.69	6934542
KAF1570152	164	23.41	25.37	6934542
KAF1570153	662	23.97	25.86	6934542
KAF1570154	264	23.81	26.92	6934542
KAF1570155	629	23.05	24.57	6934542
KAF1570156	379	24.53	26.77	6934542
KAF1570157	257	23.04	25.36	6934542
KAF1570158	398	24.89	26.97	6934542
KAF1570159	446	23.3	25.32	6934542
KAF1570160	191	22.76	25	6934542
KAF1570161	93	22.75	25.44	6934542
KAF1570162	398	25.52	28.1	6934542
KAF1570163	1708	23.2	25.66	6934542
KAF1570164	156	23.78	25.9	6934542
KAF1570165	951	23.86	26.17	6934542
KAF1570166	395	25.3	27.64	6934542
KAF1570167	500	22.88	25.04	6934542
KAF1570168	379	24.47	26.28	6934542
KAF1570169	774	22.15	22.4	6934542
KAF1570170	521	23.58	25.49	6934542
KAF1570171	106	20.98	23.22	6934542
KAF1570172	437	23.53	26.35	6934542
KAF1570173	515	25.06	27.57	6934542
KAF1570174	612	21.72	24.08	6934542
KAF1570175	552	24.09	26.16	6934542
KAF1570176	326	21.28	23.57	6934542
KAF1570177	87	24.2	25.28	6934542
KAF1570178	108	24.61	27.32	6934542
KAF1570179	501	22.25	23.79	6934542
KAF1570180	535	22.94	24.24	6934542
KAF1570183	200	24.48	27.37	6934542
KAF1570184	107	24.68	27.13	6934542
KAF1570185	324	22.25	23.56	6934542
KAF1570186	442	24.13	26.91	6934542
KAF1570187	174	24.29	26.11	6934542
KAF1570188	80	22.64	24.72	6934542
KAF1570189	176	23.99	27.03	6934542
KAF1570190	446	21.47	24.88	6934542
KAF1570191	137	24.61	25.88	6934542
KAF1570192	343	21.79	23.85	6934542
KAF1570193	96	19.74	21.38	6934542
KAF1570194	275	22.27	24.92	6934542
KAF1570195	283	25.07	27.65	6934542
KAF1570196	276	21.76	23.79	6934542
KAF1570197	688	23.54	25.6	6934542
KAF1570198	430	22.08	24.43	6934542
KAF1570199	833	20.64	21.88	6934542
KAF1570200	1089	24	26.55	6934542
KAF1570201	275	23.35	24.77	6934542
KAF1570202	720	23.92	26.03	6934542
KAF1570203	198	23.92	25.93	6934542
KAF1570204	128	22.89	25.32	6934542
KAF1570205	322	25.02	28.11	6934542
KAF1570206	690	23.52	26.08	6934542
KAF1570207	97	21.48	22.44	6934542
KAF1570208	754	22.61	23.61	6934542
KAF1570209	1086	22.75	25.01	6934542
KAF1570210	709	22.52	24.12	6934542
KAF1570211	439	20.63	22.2	6934542
KAF1570212	82	23.32	25.14	6934542
