Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
ENSCCEP00000000007	405	25.34	25.99	19098259
ENSCCEP00000000006	291	24.07	26.59	19098259
ENSCCEP00000000004	574	22.8	24.28	19098259
ENSCCEP00000000017	59	23.09	25	19098259
ENSCCEP00000000002	487	21.96	23.83	19098259
ENSCCEP00000000048	487	21.96	23.83	19098259
ENSCCEP00000000090	486	21.77	23.58	19098259
ENSCCEP00000000005	690	24.47	26.76	19098259
ENSCCEP00000000078	653	24.65	27.06	19098259
ENSCCEP00000000003	349	24.72	27.22	19098259
ENSCCEP00000000014	148	24.16	26.67	19098259
ENSCCEP00000000010	180	21.48	21.79	19098259
ENSCCEP00000000015	508	20.97	22.37	19098259
ENSCCEP00000000027	560	23.96	26.48	19098259
ENSCCEP00000000053	566	23.81	26.23	19098259
ENSCCEP00000000100	561	23.89	26.32	19098259
ENSCCEP00000000142	535	23.58	25.94	19098259
ENSCCEP00000000026	803	22.63	23.94	19098259
ENSCCEP00000000058	737	22.64	23.93	19098259
ENSCCEP00000000143	859	23.14	24.69	19098259
ENSCCEP00000000008	303	24.16	26.21	19098259
ENSCCEP00000000028	1513	21.88	23.14	19098259
ENSCCEP00000000009	341	24.6	26.34	19098259
ENSCCEP00000000018	326	23.65	25.38	19098259
ENSCCEP00000000043	246	24.82	26.77	19098259
ENSCCEP00000000011	316	21.84	23.97	19098259
ENSCCEP00000000036	316	21.84	23.97	19098259
ENSCCEP00000000047	175	22.19	23.67	19098259
ENSCCEP00000000013	503	22.36	24.36	19098259
ENSCCEP00000000034	454	22.14	23.81	19098259
ENSCCEP00000000021	316	26.13	29.72	19098259
ENSCCEP00000000025	244	22.29	25	19098259
ENSCCEP00000000012	266	22.68	25.24	19098259
ENSCCEP00000000030	700	22.49	24.43	19098259
ENSCCEP00000000019	127	22.43	25	19098259
ENSCCEP00000000020	964	23.49	26.01	19098259
ENSCCEP00000001031	842	22.49	24.08	19098259
ENSCCEP00000001035	795	22.68	24.24	19098259
ENSCCEP00000001042	781	22.8	24.36	19098259
ENSCCEP00000001047	717	22.86	24.52	19098259
ENSCCEP00000000029	500	21.58	23.07	19098259
ENSCCEP00000000747	540	24.44	26.86	19098259
ENSCCEP00000000756	536	24.41	26.91	19098259
ENSCCEP00000000769	543	24.35	26.81	19098259
ENSCCEP00000000774	545	24.34	26.84	19098259
ENSCCEP00000000784	527	24.49	27.03	19098259
ENSCCEP00000000793	529	24.39	26.92	19098259
ENSCCEP00000001157	490	24.6	27.03	19098259
ENSCCEP00000001380	477	24.51	26.93	19098259
ENSCCEP00000001497	386	24.55	27.05	19098259
ENSCCEP00000001503	447	24.91	27.32	19098259
ENSCCEP00000000038	256	23.62	25.42	19098259
ENSCCEP00000000089	266	23.31	25.16	19098259
ENSCCEP00000000016	258	23.57	26.54	19098259
ENSCCEP00000000033	401	26.23	29.48	19098259
ENSCCEP00000000083	529	25.44	27.98	19098259
ENSCCEP00000000112	529	25.44	27.98	19098259
ENSCCEP00000000167	529	25.44	27.98	19098259
ENSCCEP00000000024	554	22.88	23.34	19098259
ENSCCEP00000000037	396	22.5	23.72	19098259
ENSCCEP00000004398	562	22.55	24.54	19098259
ENSCCEP00000004402	531	22.57	24.58	19098259
ENSCCEP00000004403	519	22.57	24.62	19098259
ENSCCEP00000004406	496	21.9	23.72	19098259
ENSCCEP00000004454	466	22.59	24.66	19098259
ENSCCEP00000004455	444	22.27	24.17	19098259
ENSCCEP00000004469	432	21.67	23.56	19098259
ENSCCEP00000000031	189	21.38	21.54	19098259
ENSCCEP00000000022	202	24.33	26.07	19098259
ENSCCEP00000000023	568	23.12	25.05	19098259
ENSCCEP00000000041	362	23.95	25.9	19098259
ENSCCEP00000000071	282	24.14	26.18	19098259
ENSCCEP00000000084	338	23.59	25.43	19098259
ENSCCEP00000000035	677	25.7	28.03	19098259
ENSCCEP00000000057	661	25.75	28.18	19098259
ENSCCEP00000000032	659	23.63	25.04	19098259
ENSCCEP00000000056	658	22.99	24.23	19098259
ENSCCEP00000000098	630	23.58	25	19098259
ENSCCEP00000000297	704	25.44	27.42	19098259
ENSCCEP00000000064	313	25.21	28.42	19098259
ENSCCEP00000000063	206	24.58	26.98	19098259
ENSCCEP00000000039	223	22.55	24.05	19098259
ENSCCEP00000000040	182	23.42	25.13	19098259
ENSCCEP00000000049	156	22.72	24.6	19098259
ENSCCEP00000000042	503	24.78	27.47	19098259
ENSCCEP00000000081	463	25.04	27.79	19098259
ENSCCEP00000000044	387	23.79	26.18	19098259
ENSCCEP00000000055	413	23.65	25.69	19098259
ENSCCEP00000000054	139	21.62	22.97	19098259
ENSCCEP00000000051	342	24.2	26.1	19098259
ENSCCEP00000000094	378	24.14	26.13	19098259
ENSCCEP00000000553	325	24.08	26.31	19098259
ENSCCEP00000000592	289	24.11	26.3	19098259
ENSCCEP00000000045	266	23.91	25.24	19098259
ENSCCEP00000000046	325	24.28	27.01	19098259
ENSCCEP00000000070	227	23.01	24.43	19098259
ENSCCEP00000000052	438	22.49	23.37	19098259
ENSCCEP00000000304	3864	21.52	23.06	19098259
ENSCCEP00000000050	127	23.07	24.32	19098259
ENSCCEP00000000062	187	23.48	25.39	19098259
ENSCCEP00000000072	176	23.16	25.61	19098259
ENSCCEP00000000075	116	25.29	27.28	19098259
ENSCCEP00000000059	200	22.27	25.06	19098259
ENSCCEP00000000082	227	22.49	25.31	19098259
ENSCCEP00000000088	235	23.67	25.9	19098259
ENSCCEP00000000108	417	22.4	24.04	19098259
ENSCCEP00000000060	292	22.33	22.92	19098259
ENSCCEP00000000087	277	22.18	22.61	19098259
ENSCCEP00000000103	248	21.89	22.22	19098259
ENSCCEP00000000126	282	22.15	22.84	19098259
ENSCCEP00000000061	323	24.23	26.81	19098259
ENSCCEP00000000085	332	24.2	26.48	19098259
ENSCCEP00000000104	212	24.69	26.71	19098259
ENSCCEP00000000065	683	21.68	23.33	19098259
ENSCCEP00000000066	258	22.88	25.02	19098259
ENSCCEP00000000069	195	23.74	26.34	19098259
ENSCCEP00000000067	152	25.07	27.02	19098259
ENSCCEP00000000074	171	23.69	25.72	19098259
ENSCCEP00000000156	310	25.79	29.4	19098259
ENSCCEP00000000068	395	24.75	27.3	19098259
ENSCCEP00000000076	395	24.75	27.3	19098259
ENSCCEP00000000313	473	25.13	27.52	19098259
ENSCCEP00000000073	341	24.64	27.27	19098259
ENSCCEP00000000080	1125	24.28	26.82	19098259
ENSCCEP00000000077	566	24.35	26.26	19098259
ENSCCEP00000000101	524	24.48	26.42	19098259
ENSCCEP00000000125	468	24.62	26.56	19098259
ENSCCEP00000000138	464	24.47	26.42	19098259
ENSCCEP00000000168	444	24.62	26.57	19098259
ENSCCEP00000000179	422	24.65	26.64	19098259
ENSCCEP00000000188	413	24.72	26.68	19098259
ENSCCEP00000000367	65	23.44	25.06	19098259
ENSCCEP00000000626	175	24.52	26.98	19098259
ENSCCEP00000000079	1915	20.9	21.86	19098259
ENSCCEP00000000093	1926	20.88	21.83	19098259
ENSCCEP00000000107	1915	20.9	21.86	19098259
ENSCCEP00000000122	1915	20.9	21.86	19098259
ENSCCEP00000000132	1937	20.88	21.84	19098259
ENSCCEP00000000109	393	23.68	26.23	19098259
ENSCCEP00000000086	159	21.37	23.43	19098259
ENSCCEP00000000092	509	22.27	24.4	19098259
ENSCCEP00000000099	1113	25.41	28.31	19098259
ENSCCEP00000000157	1151	25.31	28.2	19098259
ENSCCEP00000000091	291	25.35	28.39	19098259
ENSCCEP00000000106	205	25.49	27.65	19098259
ENSCCEP00000000095	129	25.38	27.87	19098259
ENSCCEP00000000096	901	22.14	22.93	19098259
ENSCCEP00000000097	268	22.54	23.79	19098259
ENSCCEP00000000102	103	23.06	24.96	19098259
ENSCCEP00000000505	369	23.42	25.88	19098259
ENSCCEP00000000111	260	23.9	25.39	19098259
ENSCCEP00000000114	546	21.43	22.84	19098259
ENSCCEP00000000113	529	23.58	23.91	19098259
ENSCCEP00000000105	692	23.59	26.34	19098259
ENSCCEP00000000121	149	23.71	25.64	19098259
ENSCCEP00000000131	168	23.75	25.88	19098259
ENSCCEP00000000117	770	25.17	27.72	19098259
ENSCCEP00000000161	770	25.17	27.72	19098259
ENSCCEP00000000195	770	25.16	27.71	19098259
ENSCCEP00000000262	770	25.17	27.72	19098259
ENSCCEP00000000320	770	25.16	27.71	19098259
ENSCCEP00000000110	446	21.49	22.93	19098259
ENSCCEP00000000116	237	23.67	24.8	19098259
ENSCCEP00000000115	448	21.67	23.49	19098259
ENSCCEP00000000119	208	22.02	23.93	19098259
ENSCCEP00000000118	449	25.05	28.49	19098259
ENSCCEP00000000127	449	25.05	28.49	19098259
ENSCCEP00000000120	251	24.88	27.55	19098259
ENSCCEP00000000135	141	23.5	25.8	19098259
ENSCCEP00000000123	90	25.27	27.52	19098259
ENSCCEP00000000124	340	24.31	26.63	19098259
ENSCCEP00000000128	465	23.93	25.89	19098259
ENSCCEP00000000130	321	25.92	29.42	19098259
ENSCCEP00000000500	179	23.7	25.71	19098259
ENSCCEP00000000652	229	23.83	26.21	19098259
ENSCCEP00000000129	61	21.35	22.04	19098259
ENSCCEP00000000133	263	23.43	25.58	19098259
ENSCCEP00000000154	197	23.62	25.72	19098259
ENSCCEP00000000134	198	23.25	25.61	19098259
ENSCCEP00000000148	143	24.07	26.2	19098259
ENSCCEP00000000498	322	24.13	26.69	19098259
ENSCCEP00000000136	342	25.88	28.99	19098259
ENSCCEP00000000137	205	21.34	22.37	19098259
ENSCCEP00000000141	364	21.19	22.92	19098259
ENSCCEP00000000139	96	22.48	23.24	19098259
ENSCCEP00000000150	103	22.62	27.1	19098259
ENSCCEP00000000140	311	25.77	29.28	19098259
ENSCCEP00000000149	443	23.24	25.19	19098259
ENSCCEP00000000146	840	23.55	26.09	19098259
ENSCCEP00000002226	718	23.07	25.19	19098259
ENSCCEP00000002227	719	23.11	25.21	19098259
ENSCCEP00000002228	719	23.06	25.17	19098259
ENSCCEP00000002229	720	23.18	25.29	19098259
ENSCCEP00000002258	239	22.69	24.82	19098259
ENSCCEP00000002262	762	23.05	24.97	19098259
ENSCCEP00000000160	398	22.19	24.66	19098259
ENSCCEP00000000152	278	25.3	28.76	19098259
ENSCCEP00000000173	276	25.59	29.2	19098259
ENSCCEP00000000147	183	21.57	23.23	19098259
ENSCCEP00000000151	575	22.84	24.61	19098259
ENSCCEP00000000153	489	24.63	28.18	19098259
ENSCCEP00000000175	485	24.67	28.25	19098259
ENSCCEP00000003586	1082	23.47	25.43	19098259
ENSCCEP00000003646	1058	23.53	25.51	19098259
ENSCCEP00000003668	1066	23.33	25.16	19098259
ENSCCEP00000003896	990	23.6	25.56	19098259
ENSCCEP00000003910	965	23.44	25.44	19098259
ENSCCEP00000000144	345	22.03	23.23	19098259
ENSCCEP00000000181	315	22.22	23.41	19098259
ENSCCEP00000000145	552	23.92	26.29	19098259
ENSCCEP00000000165	113	22.28	23.96	19098259
ENSCCEP00000000155	507	25.33	27.65	19098259
ENSCCEP00000000172	506	24.96	27.22	19098259
ENSCCEP00000000164	1396	22.73	24.9	19098259
ENSCCEP00000000359	933	23.07	24.99	19098259
ENSCCEP00000000395	934	23.44	25.44	19098259
ENSCCEP00000000489	851	23.23	25.26	19098259
ENSCCEP00000000514	821	23.16	25.14	19098259
ENSCCEP00000000537	783	23.33	25.35	19098259
ENSCCEP00000000158	304	26.51	29.9	19098259
