Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
KAF1643418	507	24.71	26.94	6263581
KAF1643463	1450	22.62	24.92	6263581
KAF1643464	308	25.49	28.03	6263581
KAF1643465	662	22.78	24.69	6263581
KAF1643466	86	21.82	22.81	6263581
KAF1643467	319	21.78	23.96	6263581
KAF1643468	433	21.48	23.27	6263581
KAF1643469	797	23.1	25.48	6263581
KAF1643470	1639	22	22.99	6263581
KAF1643471	403	23.83	25.87	6263581
KAF1643472	124	24.31	25.98	6263581
KAF1643473	255	20.65	22.21	6263581
KAF1643474	157	24.12	24.33	6263581
KAF1643475	200	24.28	26.92	6263581
KAF1643476	355	24.31	27.04	6263581
KAF1643477	209	23.9	26.99	6263581
KAF1643478	172	25.28	28.08	6263581
KAF1643480	134	24.14	25.96	6263581
KAF1643510	111	24.85	27.5	6263581
KAF1643511	112	23.06	24.55	6263581
KAF1643517	140	22.14	24.81	6263581
KAF1643518	293	24.59	27.07	6263581
KAF1643519	469	22.38	24.53	6263581
KAF1643520	470	24.74	28.17	6263581
KAF1643521	756	22.48	23.73	6263581
KAF1643692	756	21.88	23.62	6263581
KAF1643693	191	23.72	26.12	6263581
KAF1643694	80	30.24	34.1	6263581
KAF1643732	2376	23.44	26.11	6263581
KAF1643733	243	22.7	24.65	6263581
KAF1643734	70	22.14	22.52	6263581
KAF1643735	385	22.72	24.63	6263581
KAF1643736	1351	22.27	23.95	6263581
KAF1643737	497	23.59	25.47	6263581
KAF1643738	259	29.52	32.91	6263581
KAF1643739	259	24.54	27.29	6263581
KAF1643740	266	25.34	28.3	6263581
KAF1643741	667	24.23	26.21	6263581
KAF1643742	441	23.33	25.44	6263581
KAF1643743	374	23.27	25.47	6263581
KAF1643744	192	21.82	22.85	6263581
KAF1643745	606	22.23	24.18	6263581
KAF1643746	1034	23.48	25.78	6263581
KAF1643747	143	24.12	26.16	6263581
KAF1643748	1281	23.48	25.61	6263581
KAF1643749	263	22.59	24.86	6263581
KAF1643750	797	22.98	24.97	6263581
KAF1643751	158	23.56	25.9	6263581
KAF1643752	74	26.07	28.81	6263581
KAF1643753	332	24.41	27	6263581
KAF1643754	422	23.28	25.57	6263581
KAF1643755	685	22.41	24.06	6263581
KAF1643756	139	20.06	21.87	6263581
KAF1643757	919	23.26	25.57	6263581
KAF1643758	529	24.8	26.93	6263581
KAF1643759	1163	23.55	26.25	6263581
KAF1643760	210	25.88	28.41	6263581
KAF1643761	297	24.91	27.32	6263581
KAF1643762	343	22.9	24.93	6263581
KAF1643763	313	24.39	26.84	6263581
KAF1643764	985	24.7	27.3	6263581
KAF1643765	451	22.08	23.39	6263581
KAF1643766	224	24.52	27.59	6263581
KAF1643767	1189	23.05	25.93	6263581
KAF1643768	185	23.6	25.94	6263581
KAF1643769	155	24.85	27.12	6263581
KAF1643770	149	23.66	25.19	6263581
KAF1643771	129	23.91	24.83	6263581
KAF1643772	525	26.16	29.68	6263581
KAF1643773	227	24.35	27.04	6263581
KAF1643774	507	23.62	25.67	6263581
KAF1643781	368	23.77	25.62	6263581
KAF1643782	446	23.4	26.13	6263581
KAF1643854	1066	22.29	24.11	6263581
KAF1643855	225	22.14	24.94	6263581
KAF1643856	998	22.67	24.49	6263581
KAF1643857	427	22.71	24.12	6263581
KAF1643858	259	22.08	24.19	6263581
KAF1643859	72	19.33	21.1	6263581
KAF1643860	108	26.18	28.35	6263581
KAF1643861	123	21.91	22.99	6263581
KAF1643862	313	25.06	27.09	6263581
KAF1643863	1070	22.9	24.97	6263581
KAF1643864	847	24.6	27.19	6263581
KAF1643865	1177	22.6	24.8	6263581
KAF1643866	152	24.64	26.92	6263581
KAF1643867	245	22.89	23.99	6263581
KAF1643868	672	22.33	24.64	6263581
KAF1643869	572	25.14	27.44	6263581
KAF1643870	111	25.83	27.46	6263581
KAF1643871	443	23.43	25.41	6263581
KAF1643872	393	21.84	23.58	6263581
KAF1643873	467	23.91	25.88	6263581
KAF1643874	300	22.8	24.72	6263581
KAF1643916	759	24.71	27.22	6263581
KAF1644008	122	22.02	23.32	6263581
KAF1644009	2346	23.82	26.11	6263581
KAF1644010	1481	24.57	27.66	6263581
KAF1644011	107	23.37	25.71	6263581
KAF1644012	106	22.59	24.83	6263581
KAF1644013	326	22.86	25.22	6263581
KAF1644014	1207	21.84	23.59	6263581
KAF1644015	570	23.77	25.99	6263581
KAF1644017	393	23.53	25.66	6263581
KAF1644021	221	22.76	24.86	6263581
KAF1644022	113	25.92	29.86	6263581
KAF1644023	891	23.9	25.79	6263581
KAF1644024	1153	24.75	27.03	6263581
KAF1644025	541	26.72	29.72	6263581
KAF1644026	631	23.11	25.18	6263581
KAF1644027	78	24.92	27.56	6263581
KAF1644028	474	22.9	25.39	6263581
KAF1644029	710	23.36	25.54	6263581
KAF1644030	515	26.68	30.42	6263581
KAF1644031	1406	22.46	24.14	6263581
KAF1644032	491	22.22	23.89	6263581
KAF1644033	220	23.93	27.03	6263581
KAF1644034	212	21.32	22.64	6263581
KAF1644035	565	23.32	25.92	6263581
KAF1644036	921	22.51	24.17	6263581
KAF1644037	281	21.38	21.56	6263581
KAF1644038	529	25.44	28.14	6263581
KAF1644039	373	24.43	27.3	6263581
KAF1644040	144	20.72	22.24	6263581
KAF1644041	616	23.47	25.87	6263581
KAF1644042	342	23.32	26.15	6263581
KAF1644043	131	26.49	30.5	6263581
KAF1644044	384	24.18	26.25	6263581
KAF1644045	73	22.07	24.3	6263581
KAF1644046	198	23.36	25.57	6263581
KAF1644047	574	22.14	24.27	6263581
KAF1644048	1150	24.75	27.42	6263581
KAF1644049	144	22.04	23.99	6263581
KAF1644050	111	24.28	26.9	6263581
KAF1644051	802	23.82	25.87	6263581
KAF1644052	1188	23.32	25.52	6263581
KAF1644053	871	22.87	24.98	6263581
KAF1644095	447	23.73	26.39	6263581
KAF1644096	549	23.52	25.39	6263581
KAF1644101	427	23.3	25.41	6263581
KAF1644102	219	23.28	25.24	6263581
KAF1644103	377	22.88	25.16	6263581
KAF1644104	295	22.68	23.9	6263581
KAF1644105	106	23.14	24.32	6263581
KAF1644106	298	23.55	26.09	6263581
KAF1644130	377	25.51	28.81	6263581
KAF1644131	353	25.9	28.71	6263581
KAF1644132	177	23.55	24.62	6263581
KAF1644133	522	22.61	24.87	6263581
KAF1644134	377	26.22	29.8	6263581
KAF1644135	337	27.29	30.69	6263581
KAF1644136	1868	23.63	25.56	6263581
KAF1644137	451	23.26	25.21	6263581
KAF1644138	1120	21.08	22.75	6263581
KAF1644139	681	23.25	25.43	6263581
KAF1644144	410	23.97	27.14	6263581
KAF1644168	189	23.79	26.07	6263581
KAF1644171	330	21.86	22.82	6263581
