Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
A0A090LX27	194	21.89	22.52
A0A090LX34	104	20.97	21.94
A0A090LX41	58	21.16	22.58
A0A090LX46	287	23.88	27.13
A0A090LX54	318	21.92	24.09
A0A090LX59	254	22.52	23.86
A0A090LX66	637	23.43	26.1
A0A090LX71	418	23.44	24.71
A0A090LX79	545	23.04	24.7
A0A090LX85	784	21.71	23.55
A0A090LX91	414	22.22	24.47
A0A090LX97	230	22.61	24.83
A0A090LXA2	860	22.36	23.86
A0A090LXA9	527	21.78	24.18
A0A090LXB4	294	21.22	22.8
A0A090LXC2	171	22.29	24.13
A0A090LXC7	82	23.6	26.2
A0A090LXD2	739	22.09	25.01
A0A090LXD4	309	21.49	23.19
A0A090LXD8	496	23.37	25.38
A0A090LXD9	1600	24.55	27.35
A0A090LXE2	232	21.04	21.9
A0A090LXE3	426	22.96	25.16
A0A090LXE7	486	22.47	24.26
A0A090LXE9	196	22.04	23.91
A0A090LXF3	515	22.2	23.77
A0A090LXF5	219	20.51	22.05
A0A090LXF8	167	19.38	20.29
A0A090LXG1	680	20.15	22.69
A0A090LXG3	340	24.78	27.16
A0A090LXG6	528	24.13	27.27
A0A090LXG8	157	20.96	22.51
A0A090LXH1	366	22.19	24.45
A0A090LXH2	388	23.1	24.71
A0A090LXH7	136	23.86	26.15
A0A090LXH8	773	22.9	25.13
A0A090LXI2	547	23.56	25.07
A0A090LXI4	261	21.94	22.37
A0A090LXI7	553	21.24	23.57
A0A090LXI9	354	22.8	24.21
A0A090LXJ3	295	20.68	22.6
A0A090LXJ5	606	22.79	25.52
A0A090LXJ7	549	18.29	19.71
A0A090LXK1	342	21.56	23.19
A0A090LXK2	204	23.61	25.48
A0A090LXK6	311	22.97	23.92
A0A090LXK8	575	24.13	27.6
A0A090LXL2	414	23.43	25.42
A0A090LXL3	476	19.47	20.8
A0A090LXL7	163	23.4	25.31
A0A090LXL8	645	21.75	23.46
A0A090LXM2	142	19.04	20.54
A0A090LXM3	130	25.04	27.62
A0A090LXM7	947	20	21.24
A0A090LXN0	354	21.95	24.58
A0A090LXN3	458	21.41	23.12
A0A090LXN5	1100	23.23	24.72
A0A090LXN8	574	22.48	24.41
A0A090LXP0	391	21.49	23.45
A0A090LXP3	334	20.17	22.63
A0A090LXP7	741	21.03	23.13
A0A090LXP8	255	26.23	29.27
A0A090LXQ2	313	21.33	22.97
A0A090LXQ3	501	21.1	21.99
A0A090LXQ7	587	22.77	24.76
A0A090LXQ8	243	21.81	23.11
A0A090LXR1	318	21.04	22.69
A0A090LXR4	287	22.11	24.07
A0A090LXR7	695	20.77	21.59
A0A090LXR9	164	21.63	22.97
A0A090LXS2	465	21.28	22.64
A0A090LXS4	336	23.08	24.87
A0A090LXS7	258	19.61	21.91
A0A090LXS9	166	21.82	23.83
A0A090LXT2	318	22.4	24.32
A0A090LXT6	144	23.62	26.36
A0A090LXT7	444	23.25	25.55
A0A090LXU0	361	23.65	25.18
A0A090LXU3	237	20.97	20.99
A0A090LXU5	534	22.07	23.72
A0A090LXU8	1417	22.07	24.13
A0A090LXV0	161	22.89	25.55
A0A090LXV4	357	21.43	23.33
A0A090LXV5	578	22.59	24.61
A0A090LXV8	367	22.43	24.7
A0A090LXV9	427	21.65	23.76
A0A090LXW2	331	23.25	24.66
A0A090LXW5	275	20.79	22.34
A0A090LXW6	676	22.52	23.85
A0A090LXX0	806	22.26	24.42
A0A090LXX1	407	21.74	23.41
A0A090LXX4	375	21.38	23.62
A0A090LXX5	273	20.72	23.42
A0A090LXX9	520	21.48	22.85
A0A090LXY4	183	20.94	22.36
A0A090LXZ0	266	23.18	25.47
A0A090LXZ4	577	23.36	25.8
A0A090LXZ7	276	22.01	24.01
A0A090LY01	1658	22.18	25.03
A0A090LY06	561	21.93	23.95
A0A090LY11	594	22.82	24.74
A0A090LY12	113	22.18	23.83
A0A090LY14	343	22.13	25.1
A0A090LY18	252	23.35	25.25
A0A090LY19	757	23	24.49
A0A090LY22	5566	21.82	23.67
A0A090LY25	422	21.84	24.23
A0A090LY26	331	22.86	25.15
A0A090LY30	552	21.33	22.49
A0A090LY32	411	21.76	22.82
A0A090LY33	191	21.33	22.34
A0A090LY37	384	23.46	25.18
A0A090LY39	1005	19.51	21.77
A0A090LY40	210	22.39	24.27
A0A090LY43	637	21.71	22.47
A0A090LY45	121	25.27	28.73
A0A090LY47	139	21.5	24.49
A0A090LY49	433	19.79	21.48
A0A090LY52	315	21.45	23.77
A0A090LY53	143	20.23	21.32
A0A090LY56	208	19.53	20.01
A0A090LY59	353	20.85	22.48
A0A090LY60	234	23.04	24.51
A0A090LY64	680	21.68	23.82
A0A090LY67	280	20.83	22.02
A0A090LY70	1248	21.29	23.24
A0A090LY73	358	21.82	24.22
A0A090LY77	348	21.58	23.45
A0A090LY80	2653	22.9	24.85
A0A090LY82	827	21.14	22.6
A0A090LY84	306	23.56	25.58
A0A090LY86	278	22.06	24.13
A0A090LY89	586	22.68	24.55
A0A090LY92	358	23.21	25.11
A0A090LY93	131	21.49	23.19
